Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8,Topic-9,Topic-10,Topic-11,Topic-12,Topic-13,Topic-14,Topic-15,Topic-16,Topic-17,Topic-18,Topic-19,Topic-20
"(116, 0.1441969845052807)","(140, 0.0)","(140, 0.0)","(167, 0.22493270618578112)","(140, 0.0)","(101, 0.127585881721756)","(306, 0.17913094235536997)","(140, 0.0)","(628, 0.17071270473026573)","(178, 0.29234791801719634)","(674, 0.17812997094985505)","(324, 0.2657359050181636)","(140, 0.0)","(140, 0.0)","(325, 0.1759501942624445)","(610, 0.17470343946728403)","(615, 0.17629393421565054)","(140, 0.0)","(671, 0.2541245878268943)","(140, 0.0)"
"(620, 0.14234765836886165)","(141, 0.0)","(141, 0.0)","(170, 0.22316885318793053)","(141, 0.0)","(55, 0.12735736625097865)","(489, 0.17810619447406656)","(141, 0.0)","(597, 0.17060669057554212)","(665, 0.2915005976686799)","(665, 0.17801908434185812)","(606, 0.2653936738833106)","(141, 0.0)","(141, 0.0)","(64, 0.17446538155583755)","(126, 0.17452644327058375)","(642, 0.1761239182453998)","(141, 0.0)","(474, 0.25191922540067613)","(141, 0.0)"
"(163, 0.14076105953947748)","(142, 0.0)","(142, 0.0)","(556, 0.2205154019171183)","(142, 0.0)","(480, 0.12712491667268944)","(301, 0.17809166879421423)","(142, 0.0)","(332, 0.16907477951841418)","(42, 0.28972658003684926)","(607, 0.17587470734782376)","(445, 0.2652580369494196)","(142, 0.0)","(142, 0.0)","(532, 0.1741424345492078)","(485, 0.17236448860774514)","(74, 0.1759025236720264)","(142, 0.0)","(572, 0.24982536819732226)","(142, 0.0)"
"(500, 0.13837810671391979)","(143, 0.0)","(143, 0.0)","(217, 0.2204350785317872)","(143, 0.0)","(529, 0.12710949113755393)","(402, 0.17715872888616774)","(143, 0.0)","(141, 0.16894589339688063)","(398, 0.28880700347560945)","(541, 0.17548306066374286)","(215, 0.26496633336030306)","(143, 0.0)","(143, 0.0)","(261, 0.17402977752243462)","(243, 0.17186715701738825)","(267, 0.17549991932095096)","(143, 0.0)","(12, 0.24947514784785946)","(143, 0.0)"
"(77, 0.1373783542717373)","(144, 0.0)","(144, 0.0)","(668, 0.21822803972536803)","(144, 0.0)","(69, 0.12654609072576545)","(608, 0.17694980952454611)","(144, 0.0)","(535, 0.16849208925401768)","(555, 0.2882751514148367)","(253, 0.17512384828406738)","(177, 0.2644032284565069)","(144, 0.0)","(144, 0.0)","(240, 0.17381320509053186)","(332, 0.17162434061624351)","(456, 0.1753010950613677)","(144, 0.0)","(313, 0.24876106212154392)","(144, 0.0)"
"(67, 0.13699303151155587)","(146, 0.0)","(146, 0.0)","(494, 0.21822674442492837)","(146, 0.0)","(200, 0.12615442911748131)","(292, 0.17683080080391458)","(146, 0.0)","(126, 0.16832157497897512)","(397, 0.28668215726988666)","(12, 0.17402142743572505)","(68, 0.26407564882981693)","(146, 0.0)","(146, 0.0)","(229, 0.17264136869189656)","(672, 0.17159745754782277)","(177, 0.17514874752690876)","(146, 0.0)","(203, 0.2482302055557632)","(146, 0.0)"
"(511, 0.13668175558123624)","(147, 0.0)","(147, 0.0)","(548, 0.2175698061756617)","(147, 0.0)","(272, 0.1256747288032338)","(457, 0.17663397319045213)","(147, 0.0)","(44, 0.16777703133470875)","(324, 0.28360785031454616)","(276, 0.17380596367660311)","(577, 0.26381355817919466)","(147, 0.0)","(147, 0.0)","(219, 0.17008473541056204)","(626, 0.17056160059557526)","(442, 0.17458042868457235)","(147, 0.0)","(507, 0.24752699311819468)","(147, 0.0)"
"(252, 0.13643737266723807)","(148, 0.0)","(148, 0.0)","(58, 0.2175643034479783)","(148, 0.0)","(41, 0.12531235242196104)","(248, 0.1764532189170241)","(148, 0.0)","(86, 0.16770318561075578)","(426, 0.2833393680823384)","(22, 0.17376761961149484)","(611, 0.26318429452460107)","(148, 0.0)","(148, 0.0)","(614, 0.16930811804618673)","(439, 0.17004727046133813)","(307, 0.17371440992413492)","(148, 0.0)","(417, 0.24638662330654493)","(148, 0.0)"
"(199, 0.1362665802348888)","(15, 0.0)","(15, 0.0)","(81, 0.21694361626277225)","(15, 0.0)","(461, 0.12452771925281163)","(298, 0.1750992876478417)","(15, 0.0)","(117, 0.16758834671345177)","(597, 0.2832962185971121)","(160, 0.17367204545003526)","(440, 0.26315164339860353)","(15, 0.0)","(15, 0.0)","(196, 0.16930642658027564)","(141, 0.16867724249268407)","(667, 0.17308522090797213)","(15, 0.0)","(399, 0.24562985649070476)","(15, 0.0)"
"(425, 0.13604780218474996)","(150, 0.0)","(150, 0.0)","(518, 0.21570624217436946)","(150, 0.0)","(275, 0.12429408284040266)","(219, 0.1735315938693201)","(150, 0.0)","(610, 0.16626819342007043)","(547, 0.281935078370392)","(490, 0.17317853600063232)","(184, 0.2631325063431293)","(150, 0.0)","(150, 0.0)","(534, 0.16904607625960655)","(416, 0.16737880130304236)","(622, 0.1729819894631113)","(150, 0.0)","(227, 0.2443973785890186)","(150, 0.0)"
"(499, 0.1350976893483487)","(151, 0.0)","(151, 0.0)","(613, 0.21480029138689916)","(151, 0.0)","(665, 0.12412464704997118)","(170, 0.17228790333010763)","(151, 0.0)","(207, 0.16618244933074108)","(443, 0.2815698228733218)","(433, 0.17310384712860152)","(552, 0.26263404840339316)","(151, 0.0)","(151, 0.0)","(92, 0.1688893002038619)","(447, 0.16719723699070213)","(415, 0.1711797736656579)","(151, 0.0)","(491, 0.24396307384059823)","(151, 0.0)"
"(296, 0.13509267234501976)","(153, 0.0)","(153, 0.0)","(160, 0.21106941914709834)","(153, 0.0)","(445, 0.12408679729477225)","(310, 0.17200073726250714)","(153, 0.0)","(252, 0.1659527878188202)","(292, 0.28134658761306425)","(224, 0.17244455228902328)","(157, 0.2621397636010184)","(153, 0.0)","(153, 0.0)","(480, 0.16881928479501804)","(296, 0.1671388909662571)","(35, 0.17099596046370488)","(153, 0.0)","(666, 0.2404844058630544)","(153, 0.0)"
"(438, 0.13500069873523204)","(154, 0.0)","(154, 0.0)","(53, 0.2105174048915242)","(154, 0.0)","(410, 0.12349817481270497)","(227, 0.17055198107108427)","(154, 0.0)","(672, 0.1643084988966147)","(127, 0.2796023480464622)","(4, 0.17097233676242365)","(33, 0.26148694512334636)","(154, 0.0)","(154, 0.0)","(424, 0.1685046187126926)","(490, 0.16651539415349312)","(614, 0.17055579848692345)","(154, 0.0)","(170, 0.23997257121764792)","(154, 0.0)"
"(69, 0.13449548476161743)","(155, 0.0)","(155, 0.0)","(505, 0.21006145973975252)","(155, 0.0)","(542, 0.12331807213405276)","(490, 0.16868669198633096)","(155, 0.0)","(615, 0.16310563099780706)","(517, 0.2793144702849098)","(497, 0.170886343325806)","(594, 0.2612170028595953)","(155, 0.0)","(155, 0.0)","(292, 0.1678692116174361)","(577, 0.16585619929463338)","(425, 0.1697807480499048)","(155, 0.0)","(668, 0.2390049688076796)","(155, 0.0)"
"(622, 0.13424515524653252)","(157, 0.0)","(157, 0.0)","(481, 0.2093640521785885)","(157, 0.0)","(180, 0.12295372034543466)","(594, 0.1680066626268927)","(157, 0.0)","(127, 0.16278139530098443)","(572, 0.27845556546508654)","(141, 0.17000645830619904)","(497, 0.25980187144864425)","(157, 0.0)","(157, 0.0)","(486, 0.16774141336866988)","(133, 0.1657399836705488)","(618, 0.16967438563024012)","(157, 0.0)","(612, 0.23893229177051226)","(157, 0.0)"
"(71, 0.13303054841055423)","(158, 0.0)","(158, 0.0)","(572, 0.20560319167692354)","(158, 0.0)","(290, 0.12250690786291496)","(296, 0.1677750995471775)","(158, 0.0)","(577, 0.16115728968203508)","(628, 0.27785271982437204)","(579, 0.16984343586163608)","(607, 0.25897081679760997)","(158, 0.0)","(158, 0.0)","(297, 0.16678029336906317)","(425, 0.16554615503274647)","(193, 0.1693381510597154)","(158, 0.0)","(585, 0.23783713139488735)","(158, 0.0)"
"(580, 0.1325082883165823)","(16, 0.0)","(16, 0.0)","(399, 0.20550652646976553)","(16, 0.0)","(242, 0.12202343499224738)","(252, 0.16651301116656878)","(16, 0.0)","(27, 0.16101613605211176)","(600, 0.27776272815823194)","(600, 0.1692638436698772)","(81, 0.2588049293197087)","(16, 0.0)","(16, 0.0)","(654, 0.16569179309328297)","(252, 0.16457404951149995)","(447, 0.16833201161984548)","(16, 0.0)","(107, 0.23726123653871425)","(16, 0.0)"
"(81, 0.13231196589953667)","(160, 0.0)","(160, 0.0)","(485, 0.2045717858823538)","(160, 0.0)","(294, 0.12071993931368082)","(678, 0.16632433199375068)","(160, 0.0)","(69, 0.1608156633111452)","(326, 0.27662818710807996)","(601, 0.16920002372441806)","(618, 0.25856293970446476)","(160, 0.0)","(160, 0.0)","(625, 0.16531578648254805)","(625, 0.16425938684127067)","(499, 0.16830663766701737)","(160, 0.0)","(548, 0.23648512423313992)","(160, 0.0)"
"(468, 0.12983008725430095)","(161, 0.0)","(161, 0.0)","(417, 0.20234920364850056)","(161, 0.0)","(131, 0.12061685291182221)","(178, 0.16545980330918555)","(161, 0.0)","(670, 0.16071131135366878)","(565, 0.27558530180578367)","(510, 0.16613386117472229)","(600, 0.25721262071992235)","(161, 0.0)","(161, 0.0)","(81, 0.16514173095194426)","(675, 0.1641102612908482)","(12, 0.16811452090347084)","(161, 0.0)","(182, 0.23348224128849282)","(161, 0.0)"
"(295, 0.129703028381998)","(164, 0.0)","(164, 0.0)","(441, 0.20183277553065146)","(164, 0.0)","(457, 0.1190330177930786)","(141, 0.16459536979054457)","(164, 0.0)","(439, 0.16062613192657457)","(46, 0.2736534527598522)","(81, 0.1659537297878867)","(628, 0.25709551964016025)","(164, 0.0)","(164, 0.0)","(585, 0.16496884480085378)","(535, 0.16392103940714597)","(200, 0.1672346150453378)","(164, 0.0)","(305, 0.23171498481735944)","(164, 0.0)"
"(598, 0.12962535621986593)","(165, 0.0)","(165, 0.0)","(161, 0.20140680340048597)","(165, 0.0)","(601, 0.1187817424000652)","(130, 0.16290749155203085)","(165, 0.0)","(16, 0.16042313456133878)","(148, 0.27356721854000643)","(331, 0.16594128122045057)","(617, 0.2551178023641066)","(165, 0.0)","(165, 0.0)","(107, 0.1648355624608406)","(138, 0.16227518703208857)","(135, 0.16613085288898516)","(165, 0.0)","(466, 0.2317144642580011)","(165, 0.0)"
"(391, 0.12954078243826683)","(166, 0.0)","(166, 0.0)","(23, 0.20053889852591603)","(166, 0.0)","(63, 0.11815114479149696)","(153, 0.16265094618211456)","(166, 0.0)","(139, 0.15832700766866803)","(603, 0.27340254127887825)","(529, 0.16543847412900484)","(53, 0.25504296366720663)","(166, 0.0)","(166, 0.0)","(83, 0.16400285899614872)","(16, 0.16053296078852752)","(34, 0.16604537642678655)","(166, 0.0)","(45, 0.23124588047864725)","(166, 0.0)"
"(544, 0.12953485909915186)","(167, 0.0)","(167, 0.0)","(96, 0.19839432738922122)","(167, 0.0)","(497, 0.11790120269116199)","(413, 0.1619106149875044)","(167, 0.0)","(167, 0.15824094133267713)","(521, 0.27220613790915943)","(569, 0.16441356595715076)","(630, 0.25396403047037575)","(167, 0.0)","(167, 0.0)","(183, 0.16330462671915344)","(679, 0.1600633733176525)","(123, 0.1649431845651789)","(167, 0.0)","(532, 0.23083195152216118)","(167, 0.0)"
"(169, 0.12888066415121027)","(169, 0.0)","(169, 0.0)","(562, 0.19760870665277505)","(169, 0.0)","(532, 0.11728372590645239)","(84, 0.16161589755010738)","(169, 0.0)","(522, 0.15802710151177501)","(161, 0.26894513168586714)","(628, 0.16340519336058676)","(595, 0.25237267245020256)","(169, 0.0)","(169, 0.0)","(673, 0.1631471645954425)","(139, 0.1598909499420428)","(517, 0.16457258698982838)","(169, 0.0)","(89, 0.23048252894063523)","(169, 0.0)"
"(545, 0.1287050224037227)","(17, 0.0)","(17, 0.0)","(100, 0.19731531500958513)","(17, 0.0)","(507, 0.11691847187779851)","(220, 0.16159179388846587)","(17, 0.0)","(328, 0.15797842190481176)","(598, 0.2686694776273274)","(550, 0.16321850662625387)","(605, 0.2504688033719896)","(17, 0.0)","(17, 0.0)","(46, 0.162469386604658)","(78, 0.1589940833275269)","(130, 0.1643404598097188)","(17, 0.0)","(556, 0.23009284488019996)","(17, 0.0)"
"(245, 0.1287003008615349)","(170, 0.0)","(170, 0.0)","(427, 0.1958528612546101)","(170, 0.0)","(547, 0.11641668784884084)","(465, 0.16137417719988753)","(170, 0.0)","(679, 0.1567679091189177)","(467, 0.26793980535542267)","(605, 0.16267260318423088)","(648, 0.2491896269697887)","(170, 0.0)","(170, 0.0)","(548, 0.1621622089607693)","(287, 0.15778868978934524)","(136, 0.16367655834373)","(170, 0.0)","(623, 0.2298536639366775)","(170, 0.0)"
"(550, 0.12844835575588812)","(174, 0.0)","(174, 0.0)","(300, 0.19571668139331627)","(174, 0.0)","(595, 0.11575808077280264)","(6, 0.16133519579304323)","(174, 0.0)","(78, 0.1567606846642917)","(534, 0.26477822511141696)","(24, 0.16252728642455058)","(466, 0.24902050598174882)","(174, 0.0)","(174, 0.0)","(574, 0.16196468274785286)","(393, 0.15764468394601874)","(541, 0.16328850826320723)","(174, 0.0)","(423, 0.22884717529267148)","(174, 0.0)"
"(400, 0.1282317695796283)","(175, 0.0)","(175, 0.0)","(534, 0.19466934993710694)","(175, 0.0)","(174, 0.11550040190032113)","(124, 0.1602089312337164)","(175, 0.0)","(509, 0.1555162427928313)","(541, 0.2632549191530233)","(572, 0.161527338638327)","(660, 0.24854256063706387)","(175, 0.0)","(175, 0.0)","(615, 0.16147689250647582)","(331, 0.1576063816116838)","(198, 0.16302936541296992)","(175, 0.0)","(605, 0.22871565001773198)","(175, 0.0)"
"(138, 0.12807254636618576)","(176, 0.0)","(176, 0.0)","(604, 0.19405364445730786)","(176, 0.0)","(545, 0.11493422247481153)","(188, 0.16018221917512104)","(176, 0.0)","(489, 0.15490076739147768)","(55, 0.2626677338476053)","(131, 0.1615263275593985)","(580, 0.2474995236301922)","(176, 0.0)","(176, 0.0)","(490, 0.16092425162709867)","(208, 0.15743464388663247)","(147, 0.1622418754461949)","(176, 0.0)","(488, 0.22869915409705216)","(176, 0.0)"
"(578, 0.12697953128000464)","(177, 0.0)","(177, 0.0)","(45, 0.19319659792141278)","(177, 0.0)","(261, 0.1142926508331805)","(493, 0.1587184943326558)","(177, 0.0)","(321, 0.15483092621096659)","(677, 0.2624441025567367)","(245, 0.1610819866659165)","(323, 0.24740097680899864)","(177, 0.0)","(177, 0.0)","(227, 0.159838249950132)","(123, 0.15733138180913384)","(528, 0.16188321872084835)","(177, 0.0)","(518, 0.2285841842542726)","(177, 0.0)"
"(58, 0.12671213627008737)","(178, 0.0)","(178, 0.0)","(402, 0.19303942559830636)","(178, 0.0)","(271, 0.11412238376411112)","(548, 0.1585107158380753)","(178, 0.0)","(429, 0.153875069545548)","(318, 0.2599855656441935)","(676, 0.15996744185857262)","(516, 0.24704465690771182)","(178, 0.0)","(178, 0.0)","(600, 0.1593495814928639)","(273, 0.15705232392842494)","(554, 0.16186940266711428)","(178, 0.0)","(74, 0.22851816332447505)","(178, 0.0)"
"(42, 0.1265487141862825)","(18, 0.0)","(18, 0.0)","(67, 0.1913650679483578)","(18, 0.0)","(65, 0.11388009723667522)","(307, 0.15658591291158308)","(18, 0.0)","(143, 0.1538197202965013)","(240, 0.25907821999212954)","(551, 0.1598689795679543)","(499, 0.24652378317658116)","(18, 0.0)","(18, 0.0)","(321, 0.15913388391374328)","(628, 0.15675489131077144)","(680, 0.16162484440528677)","(18, 0.0)","(441, 0.22831470751749328)","(18, 0.0)"
"(198, 0.12643286857399177)","(180, 0.0)","(180, 0.0)","(488, 0.19115409783316248)","(180, 0.0)","(494, 0.11317519186181828)","(41, 0.1565001271893979)","(180, 0.0)","(179, 0.15363874865474075)","(540, 0.2581022351000853)","(603, 0.15889054146092085)","(229, 0.24612831883101036)","(180, 0.0)","(180, 0.0)","(467, 0.15886393660555842)","(173, 0.1562215730514193)","(81, 0.16105825662887283)","(180, 0.0)","(38, 0.22796023420108263)","(180, 0.0)"
"(201, 0.12633885204997286)","(181, 0.0)","(181, 0.0)","(107, 0.19054472279872442)","(181, 0.0)","(324, 0.11258784739724906)","(535, 0.155996723482519)","(181, 0.0)","(273, 0.1534939519562836)","(71, 0.25778321547817246)","(229, 0.15824468827551477)","(176, 0.24591477485286217)","(181, 0.0)","(181, 0.0)","(499, 0.15878369437145096)","(615, 0.15605620158906006)","(163, 0.1610461332211797)","(181, 0.0)","(27, 0.22784831270427913)","(181, 0.0)"
"(387, 0.12610124596258737)","(182, 0.0)","(182, 0.0)","(574, 0.1903974831353314)","(182, 0.0)","(549, 0.1123771898814567)","(11, 0.15563055148242994)","(182, 0.0)","(138, 0.15315419560007829)","(20, 0.25707879179669263)","(499, 0.1576444626575501)","(112, 0.2451284640184956)","(182, 0.0)","(182, 0.0)","(100, 0.15762608699321243)","(98, 0.1535636666805336)","(41, 0.16059313003336537)","(182, 0.0)","(523, 0.22758190046123788)","(182, 0.0)"
"(2, 0.12584985118098463)","(183, 0.0)","(183, 0.0)","(27, 0.19011921760264297)","(183, 0.0)","(61, 0.11221811702155773)","(104, 0.15383871976902788)","(183, 0.0)","(511, 0.15312973568230287)","(298, 0.2567987818391218)","(279, 0.15725450953275083)","(148, 0.24460613995368588)","(183, 0.0)","(183, 0.0)","(502, 0.15742641071678817)","(44, 0.15333723162079255)","(30, 0.1605320500149081)","(183, 0.0)","(251, 0.22722144968730426)","(183, 0.0)"
"(495, 0.12578368560708736)","(184, 0.0)","(184, 0.0)","(395, 0.1897805657930083)","(184, 0.0)","(267, 0.11172197400733797)","(63, 0.15381493204713334)","(184, 0.0)","(331, 0.15300672018847516)","(573, 0.2565161243831684)","(46, 0.15685382858943944)","(128, 0.2439765407999991)","(184, 0.0)","(184, 0.0)","(541, 0.15732853166545546)","(35, 0.15322917535721503)","(407, 0.1592033389123188)","(184, 0.0)","(204, 0.2268736610686088)","(184, 0.0)"
"(518, 0.1239732000369505)","(185, 0.0)","(185, 0.0)","(463, 0.1897394528175871)","(185, 0.0)","(613, 0.1113122336682304)","(24, 0.15368072651392642)","(185, 0.0)","(293, 0.15271352354032966)","(632, 0.2563787197692711)","(294, 0.15611454647397344)","(154, 0.2427412556779658)","(185, 0.0)","(185, 0.0)","(516, 0.1564962006868437)","(597, 0.15311397047083908)","(476, 0.15838681203849816)","(185, 0.0)","(506, 0.22531176975347716)","(185, 0.0)"
"(28, 0.12374492419490705)","(186, 0.0)","(186, 0.0)","(141, 0.18962555237047007)","(186, 0.0)","(576, 0.11073895173492121)","(308, 0.15273354863628047)","(186, 0.0)","(208, 0.15178776077424247)","(62, 0.2558526749297628)","(326, 0.15602073300928848)","(92, 0.2423272411056136)","(186, 0.0)","(186, 0.0)","(561, 0.15631273965860865)","(661, 0.1528216562933546)","(550, 0.1583021391417979)","(186, 0.0)","(40, 0.22501294829669694)","(186, 0.0)"
"(131, 0.12344883717044863)","(187, 0.0)","(187, 0.0)","(38, 0.18938580701093446)","(187, 0.0)","(21, 0.11027229293228277)","(53, 0.15265454957913702)","(187, 0.0)","(661, 0.15103700505481618)","(53, 0.25553394788927325)","(625, 0.15601935789434013)","(38, 0.24189892089318243)","(187, 0.0)","(187, 0.0)","(440, 0.15573171909199973)","(2, 0.15281792197339536)","(464, 0.15816028092723164)","(187, 0.0)","(132, 0.22355545112904335)","(187, 0.0)"
"(293, 0.12333543740398961)","(188, 0.0)","(188, 0.0)","(308, 0.1874081496817062)","(188, 0.0)","(209, 0.10906848862207005)","(564, 0.15237600306738436)","(188, 0.0)","(540, 0.15075346530980643)","(165, 0.25495589028584686)","(191, 0.1548564995027517)","(170, 0.2415053680743382)","(188, 0.0)","(188, 0.0)","(594, 0.155391168765555)","(476, 0.1520692303730322)","(420, 0.15764702995732027)","(188, 0.0)","(233, 0.22334536929385845)","(188, 0.0)"
"(174, 0.12319809431383102)","(189, 0.0)","(189, 0.0)","(74, 0.18647769269779724)","(189, 0.0)","(110, 0.10874788020013386)","(37, 0.1514276789752736)","(189, 0.0)","(412, 0.15037179884149215)","(312, 0.2545621410440099)","(622, 0.1543687463943077)","(122, 0.24141588542438538)","(189, 0.0)","(189, 0.0)","(645, 0.15531845965823063)","(108, 0.1510593448134437)","(601, 0.15744245934529416)","(189, 0.0)","(68, 0.22266907596371582)","(189, 0.0)"
"(224, 0.12280169656037197)","(19, 0.0)","(19, 0.0)","(276, 0.1864552645151016)","(19, 0.0)","(564, 0.1084741303955191)","(293, 0.1514110986833804)","(19, 0.0)","(588, 0.1503523924496283)","(593, 0.254508588852801)","(398, 0.15425841660128609)","(482, 0.24122832049124632)","(19, 0.0)","(19, 0.0)","(170, 0.1543746619496625)","(680, 0.15093095465973427)","(89, 0.15722834880161946)","(19, 0.0)","(151, 0.22216927305818399)","(19, 0.0)"
"(586, 0.12135603094988577)","(190, 0.0)","(190, 0.0)","(421, 0.1857049900342285)","(190, 0.0)","(332, 0.10834792139171018)","(595, 0.15009016142302636)","(190, 0.0)","(476, 0.1502968150673684)","(122, 0.253985838256107)","(594, 0.15383755582402703)","(143, 0.24053816003234368)","(190, 0.0)","(190, 0.0)","(394, 0.15377808241783597)","(179, 0.1498258000922243)","(679, 0.15687632167237506)","(190, 0.0)","(545, 0.21984581770228745)","(190, 0.0)"
"(565, 0.12100175919141365)","(192, 0.0)","(192, 0.0)","(444, 0.1849245514872626)","(192, 0.0)","(678, 0.10824244072503025)","(605, 0.1489137498171739)","(192, 0.0)","(173, 0.14992486561797844)","(648, 0.25227884242592047)","(37, 0.15361459923668194)","(69, 0.23944393140705036)","(192, 0.0)","(192, 0.0)","(157, 0.15289409509862942)","(65, 0.1496877478588003)","(495, 0.15629433601263867)","(192, 0.0)","(444, 0.21926129589401872)","(192, 0.0)"
"(61, 0.12060025990151153)","(193, 0.0)","(193, 0.0)","(420, 0.18441964294319907)","(193, 0.0)","(463, 0.10672001229257047)","(565, 0.14840361521469297)","(193, 0.0)","(287, 0.14953512624591186)","(552, 0.25172291197293317)","(120, 0.15346968885619916)","(601, 0.23914065517900918)","(193, 0.0)","(193, 0.0)","(601, 0.15286102140543958)","(143, 0.14955169768460608)","(600, 0.15589567595850415)","(193, 0.0)","(498, 0.2191939475561522)","(193, 0.0)"
"(267, 0.11950461640703439)","(194, 0.0)","(194, 0.0)","(486, 0.18394010667450286)","(194, 0.0)","(138, 0.1064419802807906)","(61, 0.14833492687287966)","(194, 0.0)","(480, 0.1494912843817738)","(586, 0.2516577301671094)","(292, 0.15287403959604848)","(620, 0.23902603563297242)","(194, 0.0)","(194, 0.0)","(84, 0.1523276784946805)","(293, 0.1491620327219723)","(494, 0.15446252851117914)","(194, 0.0)","(613, 0.2185248360969154)","(194, 0.0)"
"(477, 0.11932592714869045)","(195, 0.0)","(195, 0.0)","(627, 0.1838181153625933)","(195, 0.0)","(390, 0.10557003611513589)","(305, 0.14822371212939697)","(195, 0.0)","(62, 0.14895328110733003)","(114, 0.25096349629381026)","(30, 0.15185876422478214)","(175, 0.23867202089771997)","(195, 0.0)","(195, 0.0)","(55, 0.15213585206623959)","(270, 0.14895131031942976)","(482, 0.15394021821649262)","(195, 0.0)","(2, 0.21813458351631185)","(195, 0.0)"
"(615, 0.1193164936416729)","(196, 0.0)","(196, 0.0)","(573, 0.1837040313002068)","(196, 0.0)","(308, 0.10529277890439794)","(581, 0.14821897591334188)","(196, 0.0)","(678, 0.14820963661182204)","(248, 0.249371197996191)","(427, 0.1514954580287878)","(398, 0.23834715045867252)","(196, 0.0)","(196, 0.0)","(565, 0.15194965026177804)","(489, 0.14772291773749516)","(575, 0.1534765168871888)","(196, 0.0)","(420, 0.21790614299122246)","(196, 0.0)"
"(441, 0.11889281561412306)","(197, 0.0)","(197, 0.0)","(330, 0.18336182766828482)","(197, 0.0)","(207, 0.10525349943732921)","(561, 0.14808374288132964)","(197, 0.0)","(533, 0.14767295136881203)","(67, 0.24905137539888142)","(392, 0.1502451683195625)","(193, 0.23779804739942614)","(197, 0.0)","(197, 0.0)","(145, 0.1515223892474524)","(28, 0.14670963284659608)","(39, 0.15295032400801944)","(197, 0.0)","(554, 0.21790416124456533)","(197, 0.0)"
"(521, 0.11798335438603184)","(198, 0.0)","(198, 0.0)","(390, 0.1824407025565647)","(198, 0.0)","(398, 0.10414694414290286)","(19, 0.14794043750142935)","(198, 0.0)","(547, 0.14758126070472835)","(623, 0.2485475146229038)","(94, 0.14933215276011147)","(534, 0.23705895507514946)","(198, 0.0)","(198, 0.0)","(545, 0.15090650278615686)","(127, 0.1461874326046763)","(417, 0.1521487059866467)","(198, 0.0)","(197, 0.21774603817487065)","(198, 0.0)"
"(31, 0.1163147963824257)","(199, 0.0)","(199, 0.0)","(183, 0.1821715533136222)","(199, 0.0)","(182, 0.1041115761448895)","(145, 0.1475637850666002)","(199, 0.0)","(11, 0.1472350239185705)","(680, 0.24807923760559256)","(608, 0.14920891498806302)","(178, 0.2365699737161982)","(199, 0.0)","(199, 0.0)","(180, 0.15077638595196077)","(167, 0.14615269449402857)","(325, 0.15199349289104708)","(199, 0.0)","(61, 0.21774563066758712)","(199, 0.0)"
"(389, 0.11625570604909953)","(2, 0.0)","(2, 0.0)","(467, 0.18217052934073533)","(2, 0.0)","(26, 0.1035467225766826)","(10, 0.14754262932287945)","(2, 0.0)","(552, 0.1471039297595469)","(320, 0.2474484302237051)","(606, 0.14878059884868836)","(562, 0.23615594827929293)","(2, 0.0)","(2, 0.0)","(117, 0.15044037332631388)","(565, 0.14579048804689385)","(32, 0.1519868283368636)","(2, 0.0)","(424, 0.2175223963181107)","(2, 0.0)"
"(79, 0.11567547244269603)","(20, 0.0)","(20, 0.0)","(278, 0.18198401894679334)","(20, 0.0)","(681, 0.10335393897195881)","(630, 0.14707724853699006)","(20, 0.0)","(544, 0.14709341448152324)","(2, 0.24740764396430426)","(387, 0.14872875783528772)","(448, 0.23575589219967644)","(20, 0.0)","(20, 0.0)","(174, 0.14988584639487462)","(511, 0.14572221629315535)","(170, 0.15115168777499768)","(20, 0.0)","(480, 0.2158489819130348)","(20, 0.0)"
"(140, 0.11428932641724188)","(200, 0.0)","(200, 0.0)","(671, 0.18056603648591946)","(200, 0.0)","(57, 0.10313285531577829)","(634, 0.14550905479716267)","(200, 0.0)","(565, 0.1470173897047228)","(542, 0.24728777821787842)","(679, 0.14869708767813689)","(615, 0.2350481758837957)","(200, 0.0)","(200, 0.0)","(155, 0.14910215247786152)","(61, 0.14530967772382095)","(630, 0.15101269355851116)","(200, 0.0)","(472, 0.2144056150912459)","(200, 0.0)"
"(538, 0.11401582835415071)","(201, 0.0)","(201, 0.0)","(128, 0.18040974392325623)","(201, 0.0)","(675, 0.10307566376210478)","(16, 0.14372251934338784)","(201, 0.0)","(61, 0.14669362066255082)","(290, 0.24687083326059123)","(135, 0.14689123584237687)","(196, 0.2348732384954339)","(201, 0.0)","(201, 0.0)","(273, 0.14893431546777078)","(657, 0.14462648013759666)","(422, 0.150539679714565)","(201, 0.0)","(471, 0.2135928140105393)","(201, 0.0)"
"(204, 0.1134413650416872)","(202, 0.0)","(202, 0.0)","(393, 0.17906319198835682)","(202, 0.0)","(492, 0.10305732058707512)","(585, 0.143133555181766)","(202, 0.0)","(267, 0.14651810816928623)","(175, 0.2461926841282891)","(174, 0.14617728161949617)","(312, 0.23486809578136925)","(202, 0.0)","(202, 0.0)","(72, 0.1484909433088978)","(574, 0.14449984154143353)","(620, 0.149900056497656)","(202, 0.0)","(84, 0.21257018429124996)","(202, 0.0)"
