Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8,Topic-9,Topic-10,Topic-11,Topic-12,Topic-13,Topic-14,Topic-15,Topic-16,Topic-17,Topic-18,Topic-19,Topic-20
"(132, 0.22485462205252832)","(643, 0.12288103296296048)","(643, 0.12288103296296048)","(645, 0.3312099211458179)","(643, 0.12288103296296048)","(468, 0.2046110932512887)","(35, 0.26665727162695335)","(643, 0.12288103296296048)","(50, 0.2517105307588008)","(571, 0.4172766785609364)","(589, 0.2769076894750937)","(44, 0.3557941309244269)","(643, 0.12288103296296048)","(643, 0.12288103296296048)","(53, 0.2591944321747147)","(68, 0.2551426909370282)","(326, 0.2513254327702706)","(643, 0.12288103296296048)","(392, 0.34366815139350887)","(643, 0.12288103296296048)"
"(122, 0.21923376881473383)","(489, 0.12000428134863489)","(489, 0.12000428134863489)","(194, 0.3270293508777921)","(489, 0.12000428134863489)","(248, 0.20400666320305383)","(597, 0.26650549669029083)","(489, 0.12000428134863489)","(548, 0.25090773795568305)","(45, 0.4150519909489948)","(242, 0.2754967596487049)","(496, 0.3555530416326224)","(489, 0.12000428134863489)","(489, 0.12000428134863489)","(310, 0.2586470724916786)","(497, 0.24913644676242988)","(42, 0.2500466909453693)","(489, 0.12000428134863489)","(445, 0.34351121235264265)","(489, 0.12000428134863489)"
"(133, 0.2186338733938679)","(559, 0.10985651020356353)","(559, 0.10985651020356353)","(33, 0.32555098953044936)","(559, 0.10985651020356353)","(554, 0.2034660177644776)","(508, 0.2646060449403054)","(559, 0.10985651020356353)","(304, 0.2505522761692433)","(44, 0.4140551359425193)","(95, 0.27232101046331403)","(400, 0.3502935954274581)","(559, 0.10985651020356353)","(559, 0.10985651020356353)","(331, 0.258431340136126)","(200, 0.24695600688486768)","(576, 0.2476336279397234)","(559, 0.10985651020356353)","(528, 0.3414312369451932)","(559, 0.10985651020356353)"
"(589, 0.21659058003764636)","(71, 0.10632261311346099)","(71, 0.10632261311346099)","(644, 0.32416690221421157)","(71, 0.10632261311346099)","(142, 0.19230327757082238)","(72, 0.2606834843843449)","(71, 0.10632261311346099)","(122, 0.2433609823059597)","(550, 0.4118486956899665)","(482, 0.2696754840670647)","(42, 0.3455718558108432)","(71, 0.10632261311346099)","(71, 0.10632261311346099)","(248, 0.25589863147552894)","(307, 0.2455339906247737)","(400, 0.247504071396672)","(71, 0.10632261311346099)","(240, 0.33596704435498054)","(71, 0.10632261311346099)"
"(45, 0.21527232531575496)","(596, 0.10130084790212998)","(596, 0.10130084790212998)","(242, 0.32391984184458866)","(596, 0.10130084790212998)","(92, 0.19089082262139465)","(92, 0.26055662847210287)","(596, 0.10130084790212998)","(196, 0.24001103188846137)","(124, 0.4117948216443804)","(252, 0.2694646350771014)","(267, 0.34492112486723164)","(596, 0.10130084790212998)","(596, 0.10130084790212998)","(44, 0.25503010738771936)","(313, 0.242185642712418)","(16, 0.24449238048176877)","(596, 0.10130084790212998)","(293, 0.3332429417486923)","(596, 0.10130084790212998)"
"(670, 0.2144672617865571)","(98, 0.10046125105686654)","(98, 0.10046125105686654)","(507, 0.3234328482100522)","(98, 0.10046125105686654)","(98, 0.19088756607784418)","(302, 0.259688922428614)","(98, 0.10046125105686654)","(549, 0.23992420789164717)","(520, 0.40994875614805265)","(626, 0.26155886401672623)","(626, 0.3360041438666403)","(98, 0.10046125105686654)","(98, 0.10046125105686654)","(425, 0.2547994717028757)","(486, 0.23851259231710167)","(117, 0.2417614401615537)","(98, 0.10046125105686654)","(292, 0.33316519033070324)","(98, 0.10046125105686654)"
"(534, 0.21371830756575835)","(96, 0.09760054383748756)","(96, 0.09760054383748756)","(291, 0.31910317730710214)","(96, 0.09760054383748756)","(42, 0.19032624636271758)","(624, 0.2590789142760482)","(96, 0.09760054383748756)","(649, 0.23815789517796468)","(295, 0.4085560341832279)","(672, 0.2601127446587365)","(16, 0.33373250367234336)","(96, 0.09760054383748756)","(96, 0.09760054383748756)","(550, 0.2542163404878651)","(569, 0.23798224057194436)","(141, 0.24077232060292977)","(96, 0.09760054383748756)","(676, 0.3324445982566009)","(96, 0.09760054383748756)"
"(645, 0.21100557657297175)","(179, 0.09099114628026937)","(179, 0.09099114628026937)","(240, 0.3150547851763497)","(179, 0.09099114628026937)","(145, 0.18893529312949608)","(228, 0.25828680358542533)","(179, 0.09099114628026937)","(1, 0.23729131386106536)","(427, 0.4075068650103643)","(533, 0.2594757326191581)","(538, 0.3337256027897107)","(179, 0.09099114628026937)","(179, 0.09099114628026937)","(21, 0.2540486937092503)","(218, 0.23778337060327354)","(196, 0.23744840090140037)","(179, 0.09099114628026937)","(677, 0.3307608557158696)","(179, 0.09099114628026937)"
"(35, 0.2105623031798644)","(524, 0.08992382416726483)","(524, 0.08992382416726483)","(46, 0.3148432909097345)","(524, 0.08992382416726483)","(296, 0.18817219422367726)","(485, 0.25766955001333125)","(524, 0.08992382416726483)","(295, 0.23562346340579354)","(417, 0.40585016030720517)","(298, 0.2566363172755752)","(402, 0.3332331848576066)","(524, 0.08992382416726483)","(524, 0.08992382416726483)","(586, 0.2528892332616148)","(50, 0.2369878294749692)","(608, 0.23671217514287865)","(524, 0.08992382416726483)","(42, 0.3290773937361782)","(524, 0.08992382416726483)"
"(24, 0.20979965051772267)","(10, 0.08654518047941717)","(10, 0.08654518047941717)","(392, 0.3120522993983175)","(10, 0.08654518047941717)","(387, 0.18384225375229998)","(677, 0.2550585690510471)","(10, 0.08654518047941717)","(486, 0.2349769987406684)","(58, 0.40094661473022)","(308, 0.2557863815330659)","(133, 0.3304270582966375)","(10, 0.08654518047941717)","(10, 0.08654518047941717)","(61, 0.2493126809110912)","(196, 0.23667093366610853)","(308, 0.23297369213933472)","(10, 0.08654518047941717)","(468, 0.32854693725977047)","(10, 0.08654518047941717)"
"(597, 0.2083229490599894)","(77, 0.08419722007663535)","(77, 0.08419722007663535)","(137, 0.311260962267412)","(77, 0.08419722007663535)","(45, 0.18335547140766775)","(2, 0.2545793794593335)","(77, 0.08419722007663535)","(307, 0.23470556807939993)","(245, 0.4007538203618432)","(511, 0.255560826352615)","(295, 0.33000379055465184)","(77, 0.08419722007663535)","(77, 0.08419722007663535)","(476, 0.24903724771660282)","(310, 0.23595677963361245)","(166, 0.22921630031894236)","(77, 0.08419722007663535)","(592, 0.3272539163657172)","(77, 0.08419722007663535)"
"(433, 0.20742251957227173)","(657, 0.08063772401961639)","(657, 0.08063772401961639)","(387, 0.309241511914606)","(657, 0.08063772401961639)","(644, 0.18108985348223308)","(27, 0.25151062796893336)","(657, 0.08063772401961639)","(569, 0.23441086285820617)","(182, 0.40014436750138316)","(193, 0.25440634416176655)","(253, 0.32937455357079387)","(657, 0.08063772401961639)","(657, 0.08063772401961639)","(320, 0.24651187325800133)","(466, 0.23438958470114787)","(585, 0.22803226902996013)","(657, 0.08063772401961639)","(322, 0.3242287876047778)","(657, 0.08063772401961639)"
"(170, 0.2072081936722185)","(104, 0.08062058939323793)","(104, 0.08062058939323793)","(224, 0.3092099937942127)","(104, 0.08062058939323793)","(550, 0.18104502942981057)","(196, 0.2513457021535793)","(104, 0.08062058939323793)","(218, 0.23261243557633857)","(476, 0.39574784300656396)","(33, 0.25392381481536375)","(387, 0.32579397537186766)","(104, 0.08062058939323793)","(104, 0.08062058939323793)","(551, 0.24434197013811582)","(37, 0.23327265734954675)","(191, 0.22726419223723154)","(104, 0.08062058939323793)","(245, 0.32360278503665385)","(104, 0.08062058939323793)"
"(486, 0.2061395968464989)","(519, 0.06609947458722182)","(519, 0.06609947458722182)","(656, 0.30322410115002874)","(519, 0.06609947458722182)","(440, 0.18070699042001798)","(474, 0.25061226678720927)","(519, 0.06609947458722182)","(466, 0.2316376875045885)","(617, 0.3918943601671135)","(576, 0.25209621284424605)","(571, 0.3254823736951919)","(519, 0.06609947458722182)","(519, 0.06609947458722182)","(42, 0.24278478180021082)","(649, 0.23113327711257745)","(92, 0.22160929870560386)","(519, 0.06609947458722182)","(475, 0.3233006058891181)","(519, 0.06609947458722182)"
"(510, 0.20580549155272668)","(110, 0.0654540237035578)","(110, 0.0654540237035578)","(532, 0.3003798400727974)","(110, 0.0654540237035578)","(124, 0.18018609657687112)","(147, 0.24727109747481058)","(110, 0.0654540237035578)","(92, 0.23124951238693625)","(580, 0.38884500031642744)","(21, 0.24801260740174244)","(593, 0.32498801818963824)","(110, 0.0654540237035578)","(110, 0.0654540237035578)","(665, 0.24116263469112836)","(122, 0.23078390247130828)","(145, 0.22138790410119238)","(110, 0.0654540237035578)","(31, 0.3225975387873069)","(110, 0.0654540237035578)"
"(417, 0.20327419321038545)","(332, 0.06525118168032341)","(332, 0.06525118168032341)","(134, 0.30000311941569374)","(332, 0.06525118168032341)","(511, 0.17997007163808038)","(133, 0.24580436039342804)","(332, 0.06525118168032341)","(4, 0.22882224432637568)","(207, 0.386748967396163)","(667, 0.24641023593027223)","(407, 0.3233932190986508)","(332, 0.06525118168032341)","(332, 0.06525118168032341)","(252, 0.24092018423637115)","(130, 0.22976492531154893)","(544, 0.2197134128681632)","(332, 0.06525118168032341)","(387, 0.32183639283988086)","(332, 0.06525118168032341)"
"(466, 0.20066510551102096)","(274, 0.06435931415125465)","(274, 0.06435931415125465)","(95, 0.29817473949729123)","(274, 0.06435931415125465)","(166, 0.17726777799981125)","(321, 0.2430360046171609)","(274, 0.06435931415125465)","(250, 0.22611778833265012)","(495, 0.38305211454459015)","(642, 0.2462613338126988)","(624, 0.32261756514876977)","(274, 0.06435931415125465)","(274, 0.06435931415125465)","(544, 0.24087812675151613)","(84, 0.2266110493430583)","(467, 0.21797747989641084)","(274, 0.06435931415125465)","(194, 0.32114796882835744)","(274, 0.06435931415125465)"
"(456, 0.19734245915933718)","(102, 0.0607166571214329)","(102, 0.0607166571214329)","(73, 0.29624343751082477)","(102, 0.0607166571214329)","(433, 0.17232024437474627)","(538, 0.24249847463253338)","(102, 0.0607166571214329)","(37, 0.2253127197066116)","(154, 0.3824306746468457)","(215, 0.24426381830866267)","(57, 0.32168447008770695)","(102, 0.0607166571214329)","(102, 0.0607166571214329)","(578, 0.23863072929478646)","(216, 0.2252258875684039)","(468, 0.2167116968632258)","(102, 0.0607166571214329)","(46, 0.32010337832991476)","(102, 0.0607166571214329)"
"(394, 0.19621161909417922)","(100, 0.05998243051115061)","(100, 0.05998243051115061)","(589, 0.29446428612735825)","(100, 0.05998243051115061)","(253, 0.17184991728594062)","(464, 0.24230751593224703)","(100, 0.05998243051115061)","(45, 0.22522780289075495)","(626, 0.37971026242436107)","(414, 0.24005101010443172)","(625, 0.3215877785886172)","(100, 0.05998243051115061)","(100, 0.05998243051115061)","(634, 0.23644923989832525)","(92, 0.21995085714357196)","(122, 0.2155925373810076)","(100, 0.05998243051115061)","(486, 0.3177183051366595)","(100, 0.05998243051115061)"
"(196, 0.19617639668807044)","(5, 0.05778265486376676)","(5, 0.05778265486376676)","(464, 0.290495957859151)","(5, 0.05778265486376676)","(299, 0.17091325876756913)","(127, 0.2410261653557894)","(5, 0.05778265486376676)","(130, 0.2246205516601146)","(267, 0.37894545064513596)","(117, 0.23922542182469445)","(644, 0.31851380931131684)","(5, 0.05778265486376676)","(5, 0.05778265486376676)","(133, 0.23623558462685937)","(328, 0.2196331162714091)","(331, 0.21428830210050348)","(5, 0.05778265486376676)","(124, 0.3176086904566955)","(5, 0.05778265486376676)"
"(644, 0.19533913796186986)","(675, 0.055062673335462664)","(675, 0.055062673335462664)","(292, 0.2884505156612423)","(675, 0.055062673335462664)","(310, 0.17026860057621426)","(445, 0.23894420153528279)","(675, 0.055062673335462664)","(84, 0.22265490822209613)","(252, 0.378117624690603)","(310, 0.23668333136230688)","(597, 0.31638209428787084)","(675, 0.055062673335462664)","(675, 0.055062673335462664)","(670, 0.2337361152456255)","(622, 0.21941352289001376)","(492, 0.21307121699542006)","(675, 0.055062673335462664)","(608, 0.31733220683446295)","(675, 0.055062673335462664)"
"(677, 0.19465170826741612)","(664, 0.054807273699231086)","(664, 0.054807273699231086)","(42, 0.2869045811294539)","(664, 0.054807273699231086)","(586, 0.16965071211648372)","(625, 0.23637960921527443)","(664, 0.054807273699231086)","(464, 0.21973770481744406)","(551, 0.3766873353338666)","(130, 0.2365201025532735)","(124, 0.3146991419715116)","(664, 0.054807273699231086)","(664, 0.054807273699231086)","(517, 0.23369730339628655)","(415, 0.2181823113003627)","(102, 0.21237720855007788)","(664, 0.054807273699231086)","(442, 0.31669141693467046)","(664, 0.054807273699231086)"
"(33, 0.19449921950170532)","(652, 0.05419177558264367)","(652, 0.05419177558264367)","(517, 0.28496586103678967)","(652, 0.05419177558264367)","(81, 0.16917898758186284)","(267, 0.23635967635365004)","(652, 0.05419177558264367)","(415, 0.21774785157109947)","(562, 0.3759529393157747)","(123, 0.2361864134337802)","(39, 0.31288724571097765)","(652, 0.05419177558264367)","(652, 0.05419177558264367)","(207, 0.22994503219188706)","(330, 0.2174520808739455)","(677, 0.21197023865740133)","(652, 0.05419177558264367)","(200, 0.31290893331766784)","(652, 0.05419177558264367)"
"(166, 0.19377103614014726)","(429, 0.05150890380976628)","(429, 0.05150890380976628)","(468, 0.28256337868726433)","(429, 0.05150890380976628)","(313, 0.16876162961670615)","(668, 0.2350207241513995)","(429, 0.05150890380976628)","(216, 0.21397276038536897)","(220, 0.3749216862186861)","(649, 0.2358352393036208)","(182, 0.3098670824464696)","(429, 0.05150890380976628)","(429, 0.05150890380976628)","(24, 0.22828913033329243)","(4, 0.2158738722571615)","(309, 0.21184938497668884)","(429, 0.05150890380976628)","(217, 0.3116594912910867)","(429, 0.05150890380976628)"
"(32, 0.19320781608701046)","(681, 0.05000970246495555)","(681, 0.05000970246495555)","(583, 0.281216143085091)","(681, 0.05000970246495555)","(9, 0.16597767915041925)","(649, 0.2314081489375519)","(681, 0.05000970246495555)","(624, 0.21241567121056545)","(554, 0.37356392199091204)","(112, 0.23521499378277938)","(642, 0.3062663148035406)","(681, 0.05000970246495555)","(681, 0.05000970246495555)","(161, 0.22771510521918364)","(9, 0.21573129563939475)","(215, 0.21172926732289257)","(681, 0.05000970246495555)","(95, 0.3098947829927407)","(681, 0.05000970246495555)"
"(608, 0.1926042665272683)","(329, 0.04895452352549058)","(329, 0.04895452352549058)","(412, 0.2811913618663534)","(329, 0.04895452352549058)","(543, 0.16337249481484464)","(540, 0.23104526676168574)","(329, 0.04895452352549058)","(9, 0.21172041231934868)","(321, 0.3724980522074489)","(400, 0.2344538660271778)","(245, 0.30584582243221886)","(329, 0.04895452352549058)","(329, 0.04895452352549058)","(188, 0.22710282452430017)","(250, 0.2124758521952611)","(298, 0.21134569858563027)","(329, 0.04895452352549058)","(244, 0.3095227942299378)","(329, 0.04895452352549058)"
