Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8,Topic-9,Topic-10,Topic-11
"(222, 0.23947891925068693)","(114, 0.16625557445860084)","(306, 0.24389445744665553)","(565, 0.1321720157141747)","(10, 0.11073184171068247)","(478, 0.06123769234501291)","(135, 0.08519782755618056)","(505, 0.13246868472736312)","(586, 0.1036248570567774)","(20, 0.12172923968100458)","(645, 0.1267034142093677)"
"(528, 0.2393469970236844)","(221, 0.1639402930636237)","(168, 0.2434967832425059)","(273, 0.12955780973234282)","(417, 0.1100103522841615)","(116, 0.06112761636434897)","(642, 0.08515494035838109)","(122, 0.13139006275074225)","(632, 0.1034745359738015)","(422, 0.12143400751773799)","(199, 0.12625798038704775)"
"(558, 0.2388969610078166)","(518, 0.16289337475385807)","(400, 0.24093462519692574)","(589, 0.1283081339906337)","(138, 0.10961893063365846)","(162, 0.06048434954140255)","(558, 0.08451349657402663)","(263, 0.13106230765356508)","(44, 0.1032504110618663)","(273, 0.12125575922590257)","(657, 0.1257223433447696)"
"(636, 0.23783481644061258)","(561, 0.1624515454837897)","(637, 0.24051669838584355)","(634, 0.12650362918675928)","(121, 0.10808285847413679)","(552, 0.0596006318309456)","(677, 0.08416916833085646)","(226, 0.13040007291462324)","(531, 0.10198348687204155)","(545, 0.12079128600630416)","(95, 0.1254154234906149)"
"(635, 0.2376642162354054)","(587, 0.160960581072284)","(151, 0.2383099391596666)","(591, 0.12598335764499538)","(36, 0.10805155436147905)","(323, 0.058776974269184816)","(10, 0.08255538912763526)","(247, 0.12953100962870634)","(458, 0.10087603376383308)","(429, 0.12079128600630415)","(576, 0.12484970080278611)"
"(327, 0.23572072168049027)","(149, 0.16059742639845492)","(671, 0.2358617491625133)","(30, 0.12497908284926516)","(617, 0.10784828096751387)","(142, 0.05797065189795664)","(502, 0.08246253118824091)","(520, 0.12893089735952476)","(38, 0.09985491048959294)","(186, 0.12053174155073494)","(21, 0.12476281863057799)"
"(322, 0.23394780513435834)","(309, 0.15967917716254593)","(596, 0.2311907569553943)","(69, 0.124777658838728)","(652, 0.10713612906598582)","(603, 0.05736999968573531)","(222, 0.08233515338686456)","(633, 0.12693751058246888)","(638, 0.09898681296068834)","(202, 0.11909499346652505)","(270, 0.12470064372689021)"
"(10, 0.23336191705350656)","(2, 0.15920422557804895)","(101, 0.22906917376976707)","(67, 0.12459112571978753)","(69, 0.10706201721031856)","(544, 0.057072930596345293)","(50, 0.08190707392720697)","(471, 0.12661801582640322)","(68, 0.09869214523423919)","(597, 0.11864515196806692)","(386, 0.12447015371570869)"
"(112, 0.23128539976347423)","(96, 0.15920422557804895)","(301, 0.227219431930464)","(298, 0.12446398011468386)","(443, 0.10570632553028977)","(510, 0.05687018419856104)","(138, 0.08172566566590304)","(185, 0.12488092940322529)","(181, 0.09858515758851052)","(227, 0.11824173729293182)","(15, 0.12414348539258185)"
"(103, 0.23096084903054032)","(393, 0.15920422557804892)","(560, 0.22552696835735075)","(65, 0.124403190727223)","(591, 0.10545271111598989)","(33, 0.056657521646570626)","(323, 0.08152964825848827)","(491, 0.12463533513685572)","(222, 0.09826689931203947)","(425, 0.11801264270570219)","(546, 0.12414348539258184)"
"(121, 0.2277793150054159)","(268, 0.15885197087309863)","(499, 0.22446064102030389)","(208, 0.12366577346522496)","(319, 0.10522810444752871)","(452, 0.05618802536427691)","(112, 0.08085100968182607)","(506, 0.12392670636089076)","(47, 0.09818787485268621)","(571, 0.11715270070889337)","(98, 0.12395591786466145)"
"(472, 0.22548841723629337)","(640, 0.15820359949278057)","(550, 0.22340929734349552)","(242, 0.12289100517471999)","(20, 0.10442867927385302)","(662, 0.056060249765480526)","(544, 0.07916596617054272)","(677, 0.12293020845692527)","(180, 0.09777424614803051)","(86, 0.11691326746934748)","(174, 0.1237009880983169)"
"(418, 0.22548841723629334)","(276, 0.15775002850298198)","(580, 0.2222330321313816)","(529, 0.12133801853346476)","(233, 0.10413249227953048)","(538, 0.05601994833392661)","(510, 0.07888473627222704)","(230, 0.12263998164430107)","(9, 0.09740689544237156)","(194, 0.11630443849576026)","(594, 0.12364992114776423)"
"(641, 0.22548841723629331)","(589, 0.15705760568347402)","(230, 0.22143758796899785)","(300, 0.11990982428974588)","(25, 0.10371875480113546)","(536, 0.05597189232403292)","(218, 0.07870850472723144)","(620, 0.12153411746419815)","(645, 0.09619789076630389)","(72, 0.1163044384957602)","(227, 0.12295075358556604)"
"(31, 0.22434669639512916)","(196, 0.15525323183672723)","(554, 0.22083821619313454)","(636, 0.11840108398725682)","(657, 0.10356100755425054)","(517, 0.05571385633492909)","(591, 0.0786195683757403)","(636, 0.11985573587302495)","(537, 0.09525172644638247)","(462, 0.11469230682075657)","(263, 0.12250640535360066)"
"(521, 0.22434669639512891)","(599, 0.15501430454437828)","(62, 0.2205148492526523)","(445, 0.11826471452896338)","(133, 0.10294666710720608)","(58, 0.05560058849550607)","(319, 0.07845211436586372)","(135, 0.11961592501533616)","(550, 0.09516395482644431)","(41, 0.11323491207867778)","(395, 0.1215788441738839)"
"(310, 0.2232221444695264)","(510, 0.15475220375784254)","(77, 0.22037362877037536)","(144, 0.11826315811348512)","(555, 0.10210784748030396)","(522, 0.055521393909763475)","(452, 0.07793851250846377)","(490, 0.11933472135493763)","(89, 0.0948890149373504)","(502, 0.11246901797702323)","(649, 0.12033611736341517)"
"(226, 0.22313730054513897)","(98, 0.15374854923820913)","(215, 0.21739824674664762)","(215, 0.11815406982969055)","(116, 0.10127797161685119)","(606, 0.05513768928538412)","(181, 0.07780565537222568)","(397, 0.11903963486946476)","(442, 0.09323716502169843)","(200, 0.11102471020218425)","(676, 0.1202969244889109)"
"(677, 0.22091237319383747)","(564, 0.1535989805320615)","(397, 0.21493683597130084)","(586, 0.1175596421557964)","(505, 0.09990323366889779)","(97, 0.05493939317135398)","(538, 0.07770537255297655)","(535, 0.11898042120079635)","(623, 0.09302216336435135)","(304, 0.11081137026564886)","(139, 0.12028691422223102)"
"(294, 0.21979159573738308)","(479, 0.1527050397362548)","(40, 0.2145675967142396)","(301, 0.11684581392775459)","(575, 0.09942176949949656)","(62, 0.05454749472174957)","(536, 0.07763871397396574)","(558, 0.11865513897424819)","(422, 0.09220955179959993)","(587, 0.11045100713159456)","(97, 0.12019526958354664)"
"(601, 0.21947430895558706)","(470, 0.15249637730545434)","(110, 0.21415288859679607)","(292, 0.1167575627720527)","(226, 0.09778078740258848)","(401, 0.05421504091543133)","(384, 0.07735924687741269)","(273, 0.11772840859598077)","(643, 0.09200559864049855)","(61, 0.10996433754973713)","(568, 0.12019526958354643)"
"(572, 0.21905309873224843)","(456, 0.14966288817101706)","(636, 0.20873567229277332)","(278, 0.1165968510638791)","(331, 0.09726589947553115)","(427, 0.05410358775874676)","(517, 0.07728079178264437)","(589, 0.11747522165204435)","(604, 0.09159229890541754)","(633, 0.1095435349079089)","(121, 0.1201472385946713)"
"(554, 0.218366328449634)","(50, 0.1484113873688913)","(32, 0.20840682670947416)","(469, 0.1159713076143362)","(64, 0.09562656595311002)","(440, 0.054023681738125766)","(133, 0.07675120390965766)","(10, 0.11590599806070703)","(542, 0.09159229890541747)","(426, 0.10925847664421569)","(122, 0.1197095779895513)"
"(78, 0.2172557459022819)","(125, 0.14789998380369024)","(218, 0.20746239245179224)","(626, 0.11549858309325567)","(561, 0.09255663032448228)","(107, 0.05398801844780877)","(676, 0.07672525252324056)","(6, 0.11527906090014486)","(51, 0.09131090868925792)","(507, 0.10804728947753738)","(597, 0.11927320273705759)"
"(133, 0.21695504399877738)","(528, 0.1477580627047328)","(476, 0.207371920849898)","(183, 0.1149226886023807)","(67, 0.09226804536727547)","(503, 0.053358877014290686)","(167, 0.07648158941689487)","(86, 0.1143544853215356)","(230, 0.09070199650697605)","(174, 0.10706691402811357)","(634, 0.11887389881647127)"
"(330, 0.2148422374738282)","(123, 0.14373344995317586)","(12, 0.20284219070303344)","(444, 0.11461894748682437)","(413, 0.09081494670470723)","(407, 0.052767564000802375)","(606, 0.07648158941689484)","(482, 0.1132505962255927)","(55, 0.09055660101855707)","(506, 0.10694529475152073)","(198, 0.1187422700541255)"
"(477, 0.21212165967296884)","(471, 0.14239658827909124)","(640, 0.20114357552934115)","(590, 0.11453877372009665)","(268, 0.09050577574150527)","(636, 0.05256648389228545)","(7, 0.07624616897553482)","(497, 0.11298207116505099)","(77, 0.09026619324339223)","(644, 0.10650428841008815)","(158, 0.11850643611714819)"
"(537, 0.2109255416086861)","(643, 0.14193480922357332)","(305, 0.19824085240181707)","(528, 0.11439858096100242)","(290, 0.08946015350126174)","(385, 0.05244082671682878)","(655, 0.07525606194187637)","(50, 0.11242215873544849)","(478, 0.09019386107594034)","(97, 0.103683529415046)","(571, 0.1177728511537203)"
"(237, 0.20998972958782164)","(554, 0.13994258434112483)","(647, 0.19378020070340096)","(654, 0.1140813688923004)","(102, 0.08761344602722783)","(189, 0.05218376229269781)","(440, 0.07493634751537537)","(101, 0.11225715074775108)","(425, 0.08961157679811887)","(580, 0.10361222890768014)","(252, 0.11459424912960577)"
"(582, 0.20876170894325985)","(183, 0.1372966148528481)","(112, 0.19291661301361776)","(142, 0.11380493685968804)","(389, 0.08624009427428697)","(110, 0.052064892921194775)","(505, 0.07448219232363111)","(652, 0.11214226888954429)","(162, 0.0890843010391483)","(635, 0.10353538800540357)","(189, 0.11416655726596098)"
"(573, 0.20745312082747516)","(645, 0.136424072506701)","(95, 0.19064478211871824)","(125, 0.11287596693283997)","(84, 0.0846860086732082)","(224, 0.05202951976476032)","(399, 0.07236732387346037)","(442, 0.11136712461611613)","(397, 0.08803925442061274)","(38, 0.10246947786192433)","(674, 0.11332697886138356)"
"(75, 0.20680146169189134)","(103, 0.13637829921834538)","(326, 0.1899600493725508)","(439, 0.11272125995160265)","(538, 0.08299713447192947)","(523, 0.051877677391780425)","(523, 0.07195962097076909)","(591, 0.11038019002737394)","(228, 0.08775867266666516)","(612, 0.10145721493585698)","(633, 0.11012340606316173)"
"(603, 0.20505092153596677)","(543, 0.13599679294094708)","(303, 0.18932152639153801)","(650, 0.11272125995160263)","(626, 0.08028773431330909)","(155, 0.050906805385515425)","(66, 0.07115590636330135)","(319, 0.11014508818424644)","(94, 0.08731478861324694)","(151, 0.10034701789135073)","(153, 0.10971564050966769)"
"(309, 0.20286738500646267)","(448, 0.13559218040282256)","(534, 0.18689822173591397)","(672, 0.11244997288546614)","(17, 0.08020728542180455)","(28, 0.05089342870742965)","(554, 0.0710582552230462)","(502, 0.1100075033721304)","(457, 0.08726252421140471)","(185, 0.10027660187387262)","(467, 0.10964988969616779)"
"(617, 0.20274203961436277)","(625, 0.1341399488748221)","(444, 0.18607782590454267)","(148, 0.1121770378168223)","(603, 0.07971475676869878)","(511, 0.050817966146154005)","(561, 0.06900498099493975)","(68, 0.109504771009858)","(479, 0.08649367641197375)","(531, 0.09981696644321382)","(72, 0.10884144578612674)"
"(44, 0.20168297163167487)","(113, 0.13413994887482206)","(116, 0.18559886451207688)","(470, 0.1108525871626318)","(647, 0.07875542695563095)","(13, 0.05061570995564087)","(268, 0.06747597998198607)","(133, 0.10775704633595891)","(443, 0.0862418747818681)","(183, 0.09901210345705777)","(102, 0.10849817569400752)"
"(470, 0.19967300975583557)","(522, 0.1340971766249433)","(547, 0.18045595052208593)","(581, 0.11012357809029268)","(142, 0.07792221779695578)","(72, 0.049749736442216655)","(418, 0.066234999356842)","(309, 0.10755065954087742)","(505, 0.08602224678576541)","(218, 0.098438792562897)","(5, 0.10783792617363976)"
"(168, 0.19911158543644475)","(508, 0.13338422483938464)","(187, 0.1801973209706515)","(50, 0.10950444326878926)","(401, 0.07721000033040473)","(136, 0.04974973644221658)","(472, 0.066234999356842)","(655, 0.10565789903801309)","(676, 0.0846428589121065)","(387, 0.09726671303542325)","(506, 0.10751141206431833)"
"(561, 0.1950585518569063)","(489, 0.13292750201787204)","(247, 0.1800296209190492)","(441, 0.10935568494897965)","(98, 0.07671129524545499)","(5, 0.049291043194665304)","(641, 0.06623499935684198)","(617, 0.10515529732547983)","(636, 0.08394484844258772)","(488, 0.09692036541313362)","(587, 0.10719310468440058)"
"(101, 0.19402942248582883)","(247, 0.13250148418141033)","(302, 0.17990828324838773)","(279, 0.1089415376558616)","(113, 0.07642612215708805)","(104, 0.04928013812177499)","(31, 0.06589963011656322)","(574, 0.10406744116935432)","(438, 0.08329356229893968)","(162, 0.09639178251897229)","(182, 0.10711002458681584)"
"(47, 0.19179412628801215)","(1, 0.13087287089238464)","(149, 0.17780431956291606)","(653, 0.10885981680826393)","(573, 0.07640398680674883)","(465, 0.04927465798407428)","(521, 0.06589963011656313)","(114, 0.10342191225732734)","(12, 0.08308522433503808)","(636, 0.0962125743453011)","(24, 0.1067278184521367)"
"(268, 0.19073647656503195)","(520, 0.12858191120752874)","(478, 0.173129977779325)","(562, 0.10872182557329094)","(508, 0.07599554902854685)","(293, 0.049229582770929654)","(310, 0.06556930407595342)","(116, 0.10279122684515053)","(426, 0.0829641989720101)","(7, 0.09403554679150124)","(165, 0.10549421578079717)"
"(120, 0.1898694329124436)","(573, 0.12807618419171882)","(664, 0.17072692672656012)","(294, 0.1065640548869628)","(215, 0.07595847871263837)","(20, 0.049022762683348355)","(129, 0.06504959847183144)","(52, 0.10105685698073372)","(462, 0.08225857451232779)","(300, 0.09334272697315649)","(127, 0.10541137775013427)"
"(125, 0.18601305652909692)","(487, 0.12756200042966503)","(662, 0.170213061126409)","(391, 0.10601322575962605)","(27, 0.07533815031512155)","(126, 0.04894872700906422)","(433, 0.06455841680007708)","(46, 0.10010033070567036)","(312, 0.08213812015726403)","(668, 0.0932649690983754)","(648, 0.10541137775013427)"
"(89, 0.18535033721367242)","(482, 0.1273633804624391)","(83, 0.16904226479675677)","(611, 0.10405719977948953)","(564, 0.07423111460006834)","(24, 0.04878363017595395)","(601, 0.06446841434557232)","(244, 0.1001003307056703)","(70, 0.08203783689309885)","(230, 0.09324244586733277)","(25, 0.10492820617168908)"
"(489, 0.18437502631194427)","(596, 0.1272297328319306)","(312, 0.1685443532276783)","(604, 0.10390902520278453)","(461, 0.07415982970808627)","(500, 0.04836779931882173)","(389, 0.06429572949594382)","(609, 0.10010033070567019)","(516, 0.08173653599209069)","(93, 0.09244459348406961)","(563, 0.10473273003934717)"
"(169, 0.1832828912156805)","(537, 0.12579333020503072)","(38, 0.16746910006998791)","(542, 0.10390902520278443)","(217, 0.0738422272648965)","(329, 0.04819222020995292)","(330, 0.0631077890177816)","(299, 0.10010033070567016)","(506, 0.08162661707603557)","(39, 0.09125042302697639)","(129, 0.10412375052298016)"
"(518, 0.18222215875063383)","(300, 0.12571994954348997)","(111, 0.1658351505032605)","(51, 0.10358979549229393)","(58, 0.07161434051509417)","(299, 0.04788636005668203)","(477, 0.06230864611235545)","(438, 0.09948998910581923)","(97, 0.0809174187586301)","(1, 0.0909329908667756)","(629, 0.10373853047073771)"
"(114, 0.18109581234414998)","(182, 0.12535641399860353)","(15, 0.1656199551769167)","(140, 0.10290421517150784)","(114, 0.07047141394765237)","(130, 0.04788636005668196)","(489, 0.06217872080849693)","(640, 0.09857199163268185)","(554, 0.08074753619224978)","(617, 0.09074609176175322)","(73, 0.10290448860098121)"
"(643, 0.17971805002740804)","(551, 0.1250007763300664)","(670, 0.16294180924426396)","(643, 0.1026205503422063)","(132, 0.06932349559228908)","(418, 0.04775063962711572)","(237, 0.06168241266963903)","(564, 0.09842822655277628)","(18, 0.08030249293558256)","(676, 0.09061616270382068)","(163, 0.10140702981130734)"
"(55, 0.17688766762723254)","(642, 0.12363344812813372)","(136, 0.16090721089637697)","(6, 0.1025338531054089)","(391, 0.06885418214517049)","(472, 0.04775063962711571)","(327, 0.06132169371298637)","(89, 0.09822370877097522)","(294, 0.08007758412542818)","(397, 0.09050512370896875)","(201, 0.10087900163596505)"
"(578, 0.17688766762723246)","(111, 0.12357335297601058)","(631, 0.15737328016775212)","(478, 0.1023225347073584)","(6, 0.06787933180612911)","(641, 0.0477506396271157)","(582, 0.061321693712986354)","(516, 0.0976301991529065)","(417, 0.0791675454383166)","(168, 0.08705171081154715)","(559, 0.09790405587990757)"
"(98, 0.17573912719907517)","(83, 0.12306224364858043)","(569, 0.15527345208834945)","(458, 0.10214159014375221)","(552, 0.06774451671414959)","(31, 0.04750886268305181)","(175, 0.06033770366473378)","(561, 0.09688151528197769)","(503, 0.07858955744904149)","(6, 0.08564582907294932)","(178, 0.09641963381897534)"
"(7, 0.17507397064675437)","(593, 0.12167375544083987)","(155, 0.1545659038816926)","(195, 0.10111501544455384)","(212, 0.06700125584614827)","(521, 0.04750886268305175)","(673, 0.0599118111425662)","(81, 0.09501102926675627)","(470, 0.0783014910186805)","(161, 0.0849261840590083)","(532, 0.0962031554868977)"
"(50, 0.17149521069176915)","(198, 0.12155945276705582)","(189, 0.15420920004299135)","(162, 0.10106376837869485)","(9, 0.06692501426724352)","(629, 0.047417273011637034)","(662, 0.059736700051648224)","(268, 0.09473483060984518)","(407, 0.07771864279258311)","(135, 0.08380639906563025)","(134, 0.09542365101354455)"
"(640, 0.1703754859478332)","(220, 0.11895603970427815)","(630, 0.15267450747801484)","(488, 0.10084969233515331)","(442, 0.06589110485718798)","(569, 0.04737929300910067)","(603, 0.05943080745869918)","(196, 0.09467231372233417)","(603, 0.07768775684282472)","(164, 0.08376669605900028)","(192, 0.09541161271256643)"
"(6, 0.1696831061644243)","(323, 0.11837001466326229)","(7, 0.15209728902343217)","(675, 0.10032554992062408)","(204, 0.06586034252476937)","(310, 0.04727072152086002)","(44, 0.059242384420621415)","(672, 0.09453810093624188)","(50, 0.07754185697608024)","(126, 0.08342784001844877)","(195, 0.0950165318738534)"
"(479, 0.16895140180762058)","(572, 0.11814671247853328)","(629, 0.1511783941809034)","(661, 0.0997898643894878)","(536, 0.06378918186257158)","(459, 0.046914842080448854)","(227, 0.05921489661739892)","(452, 0.09380006127586736)","(385, 0.07723740817921768)","(203, 0.08234647674966376)","(459, 0.09436348955205066)"
"(564, 0.16891958949898556)","(278, 0.1181030072737938)","(74, 0.1493635170944237)","(392, 0.09809597388561338)","(489, 0.0634019502477351)","(287, 0.046847387736290706)","(287, 0.05903065698778674)","(679, 0.09295252900973563)","(189, 0.07685879115317092)","(215, 0.08202978918320143)","(388, 0.09286493522953453)"
"(443, 0.1684595480658376)","(626, 0.11699055227231135)","(20, 0.14884547493301184)","(505, 0.0977701127451332)","(134, 0.06324578631456516)","(508, 0.046671083636334085)","(531, 0.05851545646834034)","(37, 0.09273004725606034)","(651, 0.07656234659848547)","(149, 0.08123458701199918)","(114, 0.09273152519622954)"
"(596, 0.1665898176328271)","(204, 0.1155953321953479)","(63, 0.14837295144558393)","(498, 0.09687256628566725)","(446, 0.06265337860108174)","(114, 0.04661812147243973)","(387, 0.05831985328533382)","(62, 0.0917261990122053)","(530, 0.07611721290379397)","(321, 0.08083717281726845)","(9, 0.0927097964540262)"
"(321, 0.16618829880917688)","(654, 0.1155550310077427)","(37, 0.14666384248328626)","(199, 0.09642902900698253)","(150, 0.06125149166901429)","(601, 0.046477059721281695)","(98, 0.05719159666846311)","(129, 0.08960012963791122)","(116, 0.0760222675611422)","(537, 0.0799725792658176)","(222, 0.09150916997507998)"
"(229, 0.16590698304692555)","(544, 0.11493826818347448)","(654, 0.14661393440022333)","(137, 0.09619631155732876)","(662, 0.06076813626986513)","(163, 0.04635158022812294)","(58, 0.05713842931020987)","(182, 0.0891650456678112)","(150, 0.07496332928980332)","(532, 0.0798925546424454)","(617, 0.09122645823074478)"
"(676, 0.16533612929216812)","(670, 0.11441600934756825)","(320, 0.14645137648520015)","(657, 0.09608143050138161)","(50, 0.06051154973298293)","(464, 0.046305514316714494)","(113, 0.05697898776649638)","(58, 0.08899270206767258)","(420, 0.07456133885095316)","(52, 0.07921084019674757)","(185, 0.09056155700250322)"
"(87, 0.1647527456748922)","(326, 0.11420326318476619)","(620, 0.14546567370499705)","(94, 0.09517013307495115)","(227, 0.060237323182246796)","(330, 0.045496147358848806)","(638, 0.056796043383066895)","(634, 0.08855393142597687)","(227, 0.07357956841632553)","(424, 0.07917451847325759)","(585, 0.08896675114490792)"
"(113, 0.1610642982543563)","(594, 0.11339718539538918)","(459, 0.14244529619795596)","(178, 0.09509015065684327)","(292, 0.05896057067056015)","(502, 0.04543360151076996)","(508, 0.056657976830297066)","(391, 0.08810154033901146)","(72, 0.073273839124334)","(649, 0.07869708740411736)","(443, 0.0861578080890064)"
"(508, 0.16015688653649987)","(452, 0.1131561715955178)","(639, 0.14100399136867758)","(182, 0.09444472565414277)","(412, 0.05795346715062804)","(215, 0.0451276167333796)","(47, 0.05633763360013455)","(298, 0.08712615464816624)","(215, 0.0732192317266673)","(679, 0.07831223034969909)","(558, 0.08604671812747411)"
"(331, 0.15700998047061732)","(538, 0.11281768393441423)","(159, 0.13999414683607248)","(317, 0.09421415042210776)","(386, 0.054922133868375966)","(477, 0.04492002317589252)","(564, 0.055342514461181706)","(229, 0.0867276856346254)","(300, 0.07277267097783942)","(467, 0.0781701083916604)","(248, 0.08602392599572055)"
"(73, 0.15318288034522917)","(536, 0.11272090469957774)","(603, 0.13970558814071188)","(8, 0.09352605072081271)","(554, 0.054666206400456246)","(588, 0.04484968539738066)","(537, 0.05465294846606747)","(155, 0.0856040737651979)","(87, 0.07268672841644078)","(574, 0.07812072714571104)","(142, 0.0854292117251337)"
"(33, 0.15245799617540204)","(46, 0.11257438749979122)","(395, 0.13907516530525477)","(596, 0.09248577112215428)","(66, 0.05274774324528878)","(499, 0.04475912169671752)","(89, 0.05444483409217907)","(529, 0.08493794716919464)","(5, 0.07259825332967287)","(295, 0.07812072714571099)","(76, 0.08516433575611267)"
"(651, 0.14955215595049365)","(244, 0.1125743874997912)","(52, 0.1381064989280795)","(190, 0.09248577112215424)","(504, 0.05228826548624938)","(237, 0.044468554198222626)","(636, 0.05279075438962521)","(623, 0.08473655337378831)","(321, 0.07221112857598441)","(438, 0.0779826907711927)","(243, 0.0839425649373514)"
"(530, 0.14868265930253383)","(609, 0.11257438749979107)","(108, 0.13455028764313573)","(309, 0.09229774549254932)","(182, 0.05063210365278241)","(593, 0.04432909329240469)","(643, 0.052790405262831075)","(554, 0.08409130697556294)","(672, 0.0716040124338044)","(88, 0.07717663534109813)","(150, 0.08355878975929075)"
"(74, 0.14769166041311035)","(299, 0.11257438749979104)","(608, 0.13279138471818827)","(97, 0.09179865780874555)","(208, 0.050195880476105174)","(108, 0.044314594199617106)","(114, 0.05253949461098733)","(20, 0.0824358975413765)","(500, 0.07123845470421358)","(516, 0.07652494184488506)","(125, 0.08249745218792344)"
"(218, 0.14511914194958989)","(517, 0.11220125012066073)","(94, 0.13202131473018122)","(492, 0.09084053082723331)","(78, 0.050165373207182416)","(327, 0.044208501943779434)","(55, 0.05195900833897585)","(102, 0.08200526323976315)","(679, 0.07110835232316973)","(26, 0.07614416036494848)","(14, 0.0822022515565519)"
"(77, 0.14508845405362164)","(581, 0.11154611488682972)","(489, 0.13132450108735108)","(496, 0.09044001923198547)","(229, 0.04843831973998339)","(582, 0.04420850194377943)","(578, 0.051959008338975814)","(387, 0.08187982484510935)","(125, 0.07087175049108714)","(78, 0.07593164391877681)","(652, 0.08132369389755853)"
"(12, 0.14359168208114348)","(606, 0.11104091645341918)","(270, 0.13026796459711146)","(466, 0.09044001923198537)","(427, 0.048141104362059955)","(7, 0.04384336358734143)","(491, 0.051499338163176284)","(292, 0.08173157777091448)","(53, 0.07082919764997012)","(68, 0.07460933208163936)","(427, 0.08105256278258925)"
"(511, 0.14015580104747755)","(134, 0.11100637194892497)","(5, 0.1301735797130711)","(619, 0.09020124887272299)","(303, 0.04786338814053134)","(75, 0.0437933894460849)","(6, 0.050606984986489655)","(153, 0.08173157777091447)","(573, 0.07082919764997007)","(433, 0.07459834677828395)","(528, 0.08062420081539527)"
"(647, 0.14006499447142834)","(11, 0.11086378831508628)","(71, 0.12776822266005416)","(105, 0.0899954842665059)","(39, 0.04769888463237708)","(160, 0.043402145899510636)","(309, 0.04995205073153426)","(469, 0.08118119051509151)","(629, 0.06983847318276383)","(541, 0.07365292788794167)","(394, 0.08042754575525454)"
"(215, 0.13882199365222697)","(73, 0.1105532341529632)","(586, 0.1258986241342017)","(28, 0.08984486207938663)","(273, 0.047635173905429845)","(421, 0.043314842422875297)","(479, 0.04962780850219274)","(401, 0.08081778475196935)","(528, 0.06926248135173879)","(452, 0.07352278594597861)","(326, 0.08013150401657064)"
"(204, 0.13879743668977607)","(270, 0.1103488052789651)","(490, 0.1257973864367218)","(181, 0.08933028371699006)","(301, 0.047233579276165324)","(673, 0.043192078675259676)","(461, 0.049530843778278925)","(98, 0.08029577672143307)","(328, 0.0692192328421508)","(331, 0.07332586583992531)","(124, 0.07994975543976936)"
"(53, 0.13835337712867604)","(33, 0.10932842512878986)","(628, 0.12493984956827658)","(503, 0.08915776111352873)","(218, 0.04585039426256492)","(181, 0.04286784665142665)","(443, 0.049483331314983094)","(487, 0.08008026456453625)","(168, 0.06880529826074419)","(87, 0.07323262727163969)","(319, 0.07987537192276659)"
"(14, 0.13565975336203107)","(440, 0.10879743435275767)","(276, 0.1223184433119415)","(555, 0.08820833569700108)","(302, 0.045483575771545846)","(44, 0.04270947047013037)","(204, 0.049101740937513474)","(528, 0.08008026456453622)","(231, 0.0685283788106479)","(662, 0.07167293630480752)","(277, 0.07973610227854082)"
"(328, 0.1352085713760979)","(321, 0.10710166444072333)","(319, 0.12207708906961481)","(407, 0.08816973161684735)","(157, 0.04518791955890562)","(490, 0.04143179646037825)","(74, 0.048060118858347066)","(113, 0.07999727837699493)","(163, 0.06826886885599776)","(154, 0.07065899624517806)","(501, 0.07963887355545382)"
"(620, 0.1347342350634062)","(81, 0.10685088001236688)","(90, 0.12030946312353481)","(573, 0.08773970637091025)","(485, 0.043664019303327146)","(50, 0.04126654226364789)","(462, 0.04719781783950187)","(508, 0.07954658589838448)","(400, 0.06808130492428299)","(62, 0.06973888149150079)","(69, 0.07877123923188661)"
"(589, 0.13448255667885237)","(218, 0.10600444907989252)","(69, 0.11981261813327765)","(385, 0.0876237837569702)","(294, 0.0431901453357641)","(638, 0.040945835678500776)","(134, 0.0471524759203792)","(125, 0.079014418002624)","(637, 0.06796321063776)","(510, 0.06925828525036253)","(300, 0.07797607160987143)"
"(134, 0.13328738790858127)","(331, 0.10598121735424151)","(587, 0.11954220390808667)","(25, 0.0874798042101346)","(589, 0.04315475140605055)","(491, 0.040870449122594625)","(70, 0.04707116436897362)","(459, 0.07889125180265306)","(15, 0.06783880159517172)","(443, 0.06879756025234164)","(253, 0.07758067340661144)"
"(400, 0.1329858133103628)","(633, 0.1044756302942337)","(170, 0.11880591645136304)","(52, 0.08741050295637927)","(660, 0.043067456630967595)","(554, 0.040812622031462485)","(73, 0.04695999535698837)","(27, 0.07885846897712465)","(62, 0.06783880159517167)","(410, 0.06813463103391645)","(663, 0.07682683531888848)"
"(637, 0.13275513522982318)","(523, 0.10447563029423369)","(208, 0.1177306254409599)","(227, 0.08722810022315797)","(537, 0.04261059981498101)","(222, 0.040648043830489734)","(169, 0.04635484329652425)","(148, 0.07852515993620067)","(107, 0.06714300062138391)","(619, 0.06681150253718911)","(655, 0.07662133755907673)"
"(11, 0.13018579839051672)","(137, 0.10414131198363777)","(599, 0.11630599723080709)","(224, 0.0869365277832916)","(112, 0.04251468361480295)","(47, 0.040615355410381235)","(331, 0.04612013372106486)","(394, 0.0782348924339132)","(11, 0.06664785375527976)","(611, 0.0668081959905231)","(278, 0.0758314478961219)"
