Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8,Topic-9,Topic-10,Topic-11
"(605, 0.36437060627563506)","(24, 0.27209603578410824)","(576, 0.3832831353310271)","(532, 0.18922970078190365)","(604, 0.1792351439138984)","(619, 0.10482151228567545)","(532, 0.14132417887496912)","(605, 0.18898645546064333)","(646, 0.13970939297213614)","(420, 0.17631318124457726)","(539, 0.18231116551744378)"
"(189, 0.3555991348348122)","(138, 0.27108394410804537)","(36, 0.3822988219292009)","(38, 0.1875622436674028)","(542, 0.17923514391389825)","(565, 0.10440971112628235)","(563, 0.1411073469022917)","(604, 0.18761024762121978)","(331, 0.13819349318499327)","(71, 0.1758986534384536)","(636, 0.17790738245495777)"
"(665, 0.3536012569577735)","(503, 0.269926401370627)","(237, 0.38044506804172856)","(459, 0.18136416424885074)","(51, 0.17868449700916886)","(124, 0.10060226481709632)","(394, 0.13785547825183955)","(542, 0.1876102476212196)","(544, 0.13797416544181354)","(398, 0.1757546658349097)","(37, 0.1760828890263042)"
"(619, 0.3497914480860406)","(108, 0.2685639051855049)","(322, 0.3799200987451015)","(471, 0.18088003846397085)","(478, 0.1764985688020561)","(209, 0.100341104655733)","(209, 0.13706728795277673)","(575, 0.18735595079632283)","(510, 0.13748402476148885)","(624, 0.1742826968291873)","(565, 0.17305755268518216)"
"(27, 0.34833115346398796)","(407, 0.2669351278891447)","(327, 0.37822022400486077)","(487, 0.1805314856432857)","(614, 0.17495301405059854)","(546, 0.1000352663940206)","(60, 0.13646359901384178)","(51, 0.1870338706903775)","(563, 0.1371556383269323)","(497, 0.17315863759121244)","(176, 0.17281563555168675)"
"(500, 0.34736535024150084)","(385, 0.26528226290787865)","(582, 0.37822022400486066)","(629, 0.18008162310030232)","(326, 0.17320899812976595)","(623, 0.09771509773015828)","(547, 0.13636577838354472)","(233, 0.18644680705789227)","(102, 0.1367932185182194)","(500, 0.17230287184557064)","(622, 0.16999046829207543)"
"(15, 0.3439264584932439)","(535, 0.2637724719041922)","(75, 0.3746687817491402)","(189, 0.17968556431655724)","(115, 0.17292317957325265)","(571, 0.0949017864440412)","(604, 0.13362757109938064)","(572, 0.18625911680217438)","(3, 0.13646976931124566)","(634, 0.171481539213118)","(181, 0.1681009708014824)"
"(38, 0.3417685091484929)","(167, 0.26207506999150915)","(115, 0.37155803600807435)","(639, 0.1795290664761125)","(665, 0.1726954612238031)","(429, 0.0944790322836654)","(542, 0.13362757109938056)","(478, 0.18474580082158187)","(27, 0.13554308950276545)","(547, 0.1704917254055692)","(177, 0.16767623271856455)"
"(279, 0.3395188541803973)","(603, 0.2562579947987417)","(623, 0.36795961446529474)","(47, 0.17850857452638302)","(424, 0.17045675569311694)","(545, 0.0944790322836654)","(51, 0.13321703995685125)","(138, 0.18470753610101343)","(538, 0.13542857425937035)","(298, 0.16871670025487961)","(503, 0.16615068207664485)"
"(72, 0.3383471583086191)","(574, 0.25451444831575215)","(532, 0.3675571077281141)","(285, 0.17751012981086056)","(613, 0.16641351040940305)","(167, 0.09370859269987068)","(478, 0.13158733570055636)","(162, 0.18247306789817178)","(536, 0.13531239855592803)","(42, 0.16689507984589433)","(123, 0.16611878537872568)"
"(390, 0.33790339935727126)","(136, 0.2516688520897496)","(44, 0.36539545060550643)","(89, 0.17677762199703717)","(199, 0.1663327209336657)","(467, 0.09297388695647034)","(103, 0.1313483037976018)","(518, 0.17945304082048047)","(60, 0.13496512971758945)","(417, 0.16646864748995802)","(608, 0.16589371040679168)"
"(629, 0.33013907969220074)","(652, 0.2499437947624159)","(70, 0.36244944261930784)","(575, 0.17662007287009895)","(576, 0.1644774483056109)","(279, 0.09263638590437333)","(162, 0.12996855536119)","(38, 0.17833660544207736)","(517, 0.1346885949439783)","(529, 0.1644793142848917)","(54, 0.16499490437584644)"
