Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8,Topic-9
"(537, 0.14785254479457607)","(650, 0.173436755053611)","(481, 0.14842319015078892)","(475, 0.2303346440716933)","(657, 0.18628614820979883)","(447, 0.2287972053572838)","(62, 0.17824932271743238)","(637, 0.4384060719410627)","(637, 0.32383055428389096)"
"(502, 0.14629606762826233)","(537, 0.1717670151466492)","(313, 0.14209650822701037)","(183, 0.22944285091483782)","(398, 0.18353968969781137)","(578, 0.22773298263934522)","(481, 0.1760592458107921)","(221, 0.4371137392624333)","(322, 0.3211187256777324)"
"(69, 0.1389302773879396)","(112, 0.17004897898950935)","(25, 0.135699349161185)","(668, 0.228020099470934)","(537, 0.17756972676535332)","(472, 0.22773298263934516)","(80, 0.1747361883321856)","(443, 0.4342450089279685)","(522, 0.318607138330895)"
"(240, 0.13815148891636714)","(441, 0.16825836716480372)","(648, 0.1349975392048665)","(447, 0.22647385421535063)","(20, 0.1770713405210416)","(444, 0.22750127202364484)","(161, 0.1741417828163019)","(535, 0.4308218476012076)","(645, 0.31580771462853086)"
"(190, 0.13431144207857448)","(25, 0.1651009547274239)","(139, 0.12995303045549045)","(647, 0.22484954755290598)","(486, 0.17576585563796887)","(94, 0.22333790169800327)","(421, 0.16972036374774713)","(75, 0.42671313613580786)","(75, 0.3151935163289726)"
"(679, 0.13431144207857448)","(67, 0.16009546620333326)","(650, 0.12995303045549045)","(461, 0.22076332474880306)","(6, 0.17350680988172826)","(389, 0.2164800618295362)","(55, 0.1686285117768446)","(523, 0.4253981464569451)","(523, 0.314222193475942)"
"(79, 0.13431144207857448)","(120, 0.15381528100003525)","(184, 0.1280240327922948)","(203, 0.21908505191810276)","(481, 0.17287212821547818)","(332, 0.21519856740700186)","(6, 0.16467076927548005)","(575, 0.4253981464569451)","(575, 0.314222193475942)"
"(217, 0.13322183922597178)","(240, 0.15327885995395246)","(441, 0.126072957867552)","(41, 0.21908505191810274)","(589, 0.1725021296936046)","(104, 0.21105451424059501)","(589, 0.1637172536205791)","(477, 0.4245824253871886)","(477, 0.31361965755532684)"
"(146, 0.13210212360743429)","(188, 0.15095731888147565)","(568, 0.1250063057872701)","(466, 0.21908505191810274)","(25, 0.17219968254398066)","(329, 0.20742020055401708)","(592, 0.16232616295072888)","(44, 0.41744607805409434)","(44, 0.308348363519169)"
"(475, 0.13209633512290037)","(47, 0.1484299023609647)","(168, 0.12121873055284242)","(139, 0.2166249438766485)","(445, 0.17115317244285091)","(532, 0.20589852515274742)","(130, 0.15921181377707952)","(310, 0.4132505336004905)","(31, 0.3080793489176252)"
"(142, 0.13183791419177357)","(610, 0.14741850717471044)","(547, 0.12117522267103491)","(650, 0.2166249438766485)","(46, 0.1705626918061817)","(35, 0.20362894668206566)","(157, 0.15857116438678895)","(31, 0.4112756472075317)","(310, 0.3052493063370507)"
"(94, 0.13099897121331505)","(669, 0.14474564318057784)","(389, 0.12115955607332395)","(656, 0.2154955943072907)","(139, 0.1686778622042287)","(183, 0.19878164403483115)","(313, 0.15459941677615996)","(159, 0.40901195454342865)","(159, 0.30211846145767385)"
"(204, 0.12914366800072272)","(190, 0.13753452048819273)","(67, 0.11995664349737584)","(115, 0.21397885128003186)","(650, 0.1686778622042287)","(117, 0.1849385128388203)","(308, 0.15441012181336133)","(573, 0.4090119545434281)","(573, 0.3021184614576734)"
