Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8,Topic-9
"(462, 0.06998588675321077)","(168, 0.0880486029009836)","(275, 0.07502841711548511)","(38, 0.12889834094618008)","(548, 0.11234903494177903)","(327, 0.09877454771804982)","(607, 0.07548312921211024)","(36, 0.24829220561446502)","(60, 0.19256349129866332)"
"(275, 0.06933594070191886)","(127, 0.08790341418245146)","(187, 0.07334971659550142)","(36, 0.12767652814911612)","(329, 0.112347480135729)","(71, 0.09838632647350921)","(65, 0.07448035159946775)","(302, 0.2479999251063064)","(444, 0.1919387755075274)"
"(580, 0.06862478404931786)","(158, 0.08591713381674645)","(628, 0.07214449376024921)","(94, 0.12524822372622527)","(295, 0.11176843543591457)","(84, 0.09789315882421222)","(191, 0.07443927194734931)","(53, 0.24619626534994238)","(489, 0.18418391803398168)"
"(497, 0.06762396856317437)","(327, 0.08451389887655845)","(132, 0.07068687898560624)","(222, 0.1251914582389159)","(383, 0.11092187890883116)","(501, 0.0978931588242122)","(555, 0.07351409469659315)","(400, 0.24567270380178818)","(574, 0.18378782312813732)"
"(162, 0.0658635631413459)","(443, 0.08412918358240194)","(417, 0.07068687898560619)","(580, 0.12378568221522772)","(303, 0.11016171458974024)","(105, 0.09789315882421218)","(487, 0.07173012253255309)","(321, 0.2366696803522268)","(36, 0.18340211898185402)"
"(115, 0.06544467840083819)","(461, 0.08403830749775613)","(573, 0.07068687898560617)","(187, 0.12227016319031325)","(308, 0.10984289348006025)","(195, 0.09789315882421215)","(252, 0.07146905597042237)","(674, 0.2330561905932616)","(302, 0.18318622471163026)"
"(428, 0.06415372952377653)","(64, 0.08365244769260222)","(579, 0.07019523287085261)","(155, 0.11472306617819993)","(429, 0.10976017579460944)","(52, 0.09680809861880633)","(605, 0.07050380858414439)","(401, 0.23305619059326152)","(53, 0.1818539435777106)"
"(541, 0.06415372952377653)","(509, 0.08358968407215292)","(38, 0.06931418755818801)","(452, 0.11463337882286265)","(332, 0.10794884511127449)","(663, 0.09636232658638408)","(31, 0.0688625639758495)","(115, 0.23049603726736567)","(475, 0.1793910584129944)"
"(97, 0.062165167033554514)","(546, 0.08259537137423785)","(36, 0.06865716621287801)","(322, 0.11411896757470777)","(386, 0.10788672316582361)","(390, 0.09588239987155207)","(571, 0.06866524792041707)","(462, 0.2300574871031993)","(532, 0.17913421151100797)"
"(168, 0.06183134829375302)","(529, 0.08177307485704222)","(88, 0.06847652310205682)","(73, 0.11359030793828996)","(388, 0.10788672316582333)","(516, 0.09583512820998767)","(94, 0.06757026481994302)","(596, 0.23005748710319912)","(187, 0.1763880790204568)"
"(327, 0.0613922193123128)","(678, 0.08091821581868322)","(84, 0.06664422862884663)","(479, 0.11328589280045462)","(148, 0.1069583143341651)","(480, 0.09515007987065216)","(150, 0.06756079668865515)","(301, 0.22722886363523812)","(321, 0.17481709008117055)"
"(86, 0.059654345220974424)","(186, 0.08051057007012027)","(252, 0.06652316223016923)","(520, 0.10884156519778691)","(480, 0.10695831433416508)","(297, 0.0951500798706521)","(460, 0.0667964435147233)","(331, 0.2258390716154327)","(647, 0.17382728593299424)"
"(212, 0.05925786395550218)","(3, 0.07994031626257946)","(237, 0.06634414370943612)","(116, 0.10869662506849931)","(491, 0.10545445228451161)","(648, 0.09292365179615453)","(302, 0.06647162819910245)","(120, 0.2256799099041133)","(401, 0.17214797013407687)"
"(509, 0.05870011220328322)","(522, 0.07981195134325017)","(30, 0.06605886315629955)","(217, 0.10810296146152128)","(126, 0.10523279169873025)","(80, 0.09116458486846543)","(327, 0.0664716281991024)","(233, 0.22486071007487135)","(462, 0.16993296474188319)"
"(443, 0.05825384212334645)","(492, 0.07971479911619016)","(324, 0.06605886315629955)","(574, 0.10662086541198462)","(649, 0.10463229983066326)","(317, 0.08970835560930636)","(240, 0.06581391347878396)","(168, 0.2239918922663825)","(596, 0.16993296474188307)"
"(628, 0.055558759515106235)","(294, 0.07949757919308766)","(604, 0.06605886315629952)","(160, 0.10662086541198454)","(183, 0.10411023681022648)","(40, 0.08938871943917541)","(544, 0.06368841915117852)","(580, 0.21940232938535092)","(78, 0.16956899224365624)"
"(522, 0.055264447069690234)","(634, 0.0794055924267242)","(607, 0.06513183913097224)","(291, 0.10640798579120911)","(660, 0.10410251262988461)","(421, 0.08854769382615835)","(612, 0.061976307578264646)","(635, 0.21911354707683628)","(301, 0.16784358969870766)"
"(676, 0.0549422026487497)","(676, 0.07934657156640545)","(487, 0.06496605532943406)","(142, 0.10639710679093023)","(465, 0.10407158227938973)","(479, 0.08786970043206495)","(168, 0.0600367349948275)","(187, 0.21671616731601004)","(331, 0.16681701377077793)"
"(132, 0.05443624462160406)","(628, 0.07911635908335951)","(291, 0.0640865106592108)","(638, 0.10627186000614901)","(301, 0.1029761471786801)","(490, 0.08660539356992902)","(642, 0.059880035316094316)","(520, 0.21269907322847253)","(120, 0.16669944827956765)"
"(417, 0.05443624462160403)","(132, 0.07751788402441602)","(571, 0.06391338691915985)","(443, 0.1050785323231671)","(173, 0.10267703981163144)","(505, 0.08639244542685758)","(491, 0.05817031146263776)","(563, 0.2087230390270472)","(95, 0.16587023467089776)"
"(573, 0.05443624462160401)","(417, 0.07751788402441596)","(620, 0.06347869124769943)","(655, 0.10448395798054287)","(11, 0.10235459955321248)","(520, 0.0844224774335558)","(108, 0.05766640839026896)","(33, 0.2076443597697382)","(168, 0.16545258670019417)"
"(295, 0.054436244621604006)","(573, 0.07751788402441595)","(443, 0.06303647893377606)","(646, 0.10406580115030364)","(663, 0.10211065728557915)","(197, 0.08406296038128182)","(166, 0.05704161846677643)","(130, 0.20321834295518462)","(635, 0.1618491757808963)"
"(169, 0.05386891886454899)","(295, 0.07751788402441594)","(312, 0.061433494880167236)","(568, 0.10264601019483201)","(656, 0.10200083547695761)","(599, 0.0831547956818051)","(520, 0.05700991122427222)","(446, 0.20227087215853629)","(624, 0.15762240929102536)"
"(505, 0.05369626162918332)","(38, 0.07601253909479218)","(73, 0.06108239913277403)","(212, 0.10175331472959499)","(461, 0.0999223984695528)","(130, 0.08306509972364652)","(182, 0.0562547283585573)","(534, 0.19638230443123522)","(218, 0.15742030998089662)"
"(38, 0.05337912953312868)","(469, 0.07589504254366072)","(522, 0.05980165473238638)","(389, 0.10062543265364819)","(185, 0.09924135125659339)","(331, 0.08169216881121409)","(20, 0.05506078164995944)","(28, 0.1923830405286832)","(318, 0.15722716114290547)"
"(36, 0.052873154800785596)","(321, 0.075823898344895)","(676, 0.05945295406455518)","(296, 0.10032241110048765)","(49, 0.09766988017957752)","(613, 0.08071378419013872)","(129, 0.0550169049376691)","(565, 0.1916046381927715)","(520, 0.157111096737971)"
"(88, 0.05273404082785333)","(460, 0.07563742381683294)","(544, 0.05928097106991671)","(17, 0.09917514311084659)","(19, 0.09762275424365655)","(595, 0.0799294294761841)","(331, 0.05468040694963396)","(110, 0.1895120420460618)","(547, 0.15658893578321142)"
"(600, 0.05241948655350454)","(36, 0.07529202483276519)","(560, 0.05835984855295696)","(676, 0.09910498271870885)","(275, 0.09738620914994209)","(601, 0.07895471077425663)","(488, 0.05416902250407158)","(74, 0.18738286208121355)","(563, 0.15417418175958458)"
"(539, 0.05191056324981911)","(88, 0.07509392481879655)","(574, 0.05733462982171639)","(58, 0.09561655562362247)","(168, 0.09713606668704072)","(178, 0.07790948474582415)","(188, 0.05347291607906827)","(293, 0.18365178907083496)","(33, 0.15337741062855909)"
"(222, 0.051844042496765746)","(169, 0.07415715562175391)","(142, 0.05721430517739842)","(508, 0.09383808474771568)","(28, 0.09688536110802877)","(511, 0.07649829482336871)","(561, 0.05346447667239268)","(647, 0.1714834751192174)","(628, 0.1528260046000597)"
"(633, 0.05159045394908572)","(505, 0.07391947181925494)","(572, 0.05661237061114158)","(312, 0.09360648356152136)","(138, 0.09679414803622197)","(660, 0.0753323279395718)","(300, 0.05323997471133143)","(67, 0.16853938528524842)","(130, 0.1523087511234542)"
"(457, 0.05159045394908564)","(222, 0.07382655621372952)","(655, 0.056185522692717066)","(287, 0.09191156124672382)","(487, 0.09677833111530941)","(509, 0.0746428338301749)","(620, 0.053044856633947875)","(312, 0.16810287780681096)","(446, 0.1494082606031756)"
"(84, 0.05132298361902121)","(84, 0.07308456194252912)","(29, 0.056052804114352324)","(309, 0.09006876243975738)","(226, 0.09650013881880148)","(619, 0.07198240832483452)","(116, 0.050991214755480324)","(11, 0.162843522957204)","(400, 0.1453568125414527)"
"(103, 0.051321325368704256)","(322, 0.07118585412408188)","(646, 0.055960661761636186)","(178, 0.08991074524741977)","(296, 0.09633362484785633)","(639, 0.07124912188625607)","(276, 0.05053625412168658)","(568, 0.15969233899614677)","(534, 0.14505864440687782)"
"(184, 0.050764953424337754)","(468, 0.07080525875423652)","(146, 0.0547087824310325)","(468, 0.0884367630094721)","(228, 0.09627838607647822)","(531, 0.06997154978297612)","(44, 0.05053625412168657)","(547, 0.15969233899614674)","(28, 0.1421045707085896)"
"(468, 0.04902791385027519)","(387, 0.07080525875423649)","(623, 0.05370344984888232)","(387, 0.08843676300947208)","(563, 0.09566448225844887)","(86, 0.06853892033206754)","(577, 0.05053625412168655)","(220, 0.15758511206749223)","(565, 0.1415296004332507)"
"(387, 0.049027913850275176)","(212, 0.07023646083563467)","(17, 0.05333074436982563)","(385, 0.08775087523528005)","(599, 0.0954619839056739)","(385, 0.06806357728192457)","(492, 0.04983093545653024)","(636, 0.15493667498786937)","(511, 0.13793860402657362)"
"(620, 0.04888519078233295)","(31, 0.0697241989538913)","(468, 0.05305310252405236)","(135, 0.08752691049608684)","(187, 0.09520727100591046)","(11, 0.06731994966694377)","(551, 0.048762496356847505)","(40, 0.15242975566152667)","(293, 0.13565519379492505)"
"(197, 0.04884052439220891)","(16, 0.06949375073042369)","(387, 0.053053102524052334)","(537, 0.08743062374807983)","(583, 0.09513622598262951)","(312, 0.06695278524117637)","(66, 0.04817749459602945)","(328, 0.14875620966961076)","(4, 0.1328985963732269)"
"(546, 0.04853101427099149)","(611, 0.0693747020214444)","(537, 0.052449520850869666)","(611, 0.0866499775506594)","(245, 0.09509826676779252)","(287, 0.06584972485485832)","(412, 0.04770938381825345)","(668, 0.14739254588430695)","(392, 0.13082090570685806)"
"(31, 0.048279352123493144)","(412, 0.06843271512923146)","(611, 0.05198121218219618)","(20, 0.0864884287499188)","(495, 0.09361945539065408)","(452, 0.06574235557985526)","(546, 0.046787479833070876)","(653, 0.14635024800265198)","(442, 0.12439845095330207)"
"(611, 0.0480373488345225)","(73, 0.0669852510091956)","(523, 0.051820835735342616)","(13, 0.0843050530290219)","(263, 0.09348533125187299)","(569, 0.06570158630889823)","(665, 0.04658933395182299)","(52, 0.14607569805122445)","(312, 0.12416992277473526)"
"(73, 0.047039796762610254)","(116, 0.06409940113923651)","(464, 0.05182083573534255)","(81, 0.08337662841284933)","(10, 0.09336047599582273)","(622, 0.0656512442867466)","(611, 0.04649439587330788)","(672, 0.13926728637640193)","(667, 0.12368112819155681)"
"(116, 0.045013234357825865)","(574, 0.06287530654745199)","(58, 0.05141713866535295)","(576, 0.08156765019570324)","(158, 0.09243763637616838)","(592, 0.06463650532898595)","(478, 0.04597372245534827)","(227, 0.1347710114039312)","(620, 0.12324076659415772)"
"(460, 0.04444269495494624)","(160, 0.06287530654745194)","(129, 0.051209554161244515)","(621, 0.0802964971788207)","(157, 0.09080059649965118)","(196, 0.06380984915303184)","(556, 0.045185729936506186)","(112, 0.13452270552178355)","(183, 0.12234059373260381)"
"(574, 0.044153624817692194)","(122, 0.06285946266744588)","(331, 0.0508963429407486)","(4, 0.08010522301197386)","(670, 0.09013446688980815)","(597, 0.0633365447619567)","(638, 0.045034513064849555)","(664, 0.12992343843357954)","(129, 0.12228779200003755)"
"(160, 0.04415362481769215)","(142, 0.0627433540273044)","(191, 0.05074782438268034)","(588, 0.07827527666129254)","(64, 0.0900010765987402)","(127, 0.06233508064011661)","(326, 0.042902086221757306)","(650, 0.12832160483472158)","(112, 0.12106088733927704)"
"(638, 0.04400909537977149)","(638, 0.06266949484451897)","(488, 0.05042034798080104)","(624, 0.07782393673065481)","(71, 0.08888940185955678)","(4, 0.06213326103634373)","(321, 0.042289848788274485)","(139, 0.12832160483472155)","(11, 0.12028507741074847)"
"(655, 0.04326869288027601)","(54, 0.06174263988783905)","(309, 0.048433851413882255)","(46, 0.07470481390785673)","(501, 0.0884438381421809)","(231, 0.06120027252917119)","(290, 0.04228984878827447)","(320, 0.125627023201369)","(568, 0.11795744165460673)"
"(646, 0.043095526589362915)","(646, 0.06136856161454535)","(561, 0.04842283864887567)","(554, 0.074496344209512)","(84, 0.08844383814218089)","(576, 0.058438865030549625)","(323, 0.04228984878827447)","(4, 0.12523382341622857)","(585, 0.11467375937361862)"
"(568, 0.04250756552822149)","(568, 0.06053129780868858)","(605, 0.048064882994408094)","(136, 0.07349703527657413)","(105, 0.08844383814218088)","(554, 0.057782759063426344)","(222, 0.039152792024526394)","(441, 0.1244902425370181)","(516, 0.11450215006317369)"
"(607, 0.04242361320684124)","(290, 0.059806345934701535)","(135, 0.047066988186043754)","(510, 0.07287313541499485)","(70, 0.0881388155595601)","(510, 0.05652372435939528)","(272, 0.03866659789848205)","(134, 0.11452012196981842)","(636, 0.11444464972412578)"
"(290, 0.041998474522347035)","(215, 0.05900614220030442)","(276, 0.04703897911892549)","(410, 0.07157860101529592)","(77, 0.08711028894347447)","(108, 0.05628478893535039)","(456, 0.037567671310971294)","(196, 0.11394010834374659)","(88, 0.11441479950316884)"
"(312, 0.04161375749175269)","(482, 0.05896740286988416)","(44, 0.04703897911892548)","(126, 0.07092871939431152)","(678, 0.08705933587134886)","(110, 0.055264064195860135)","(33, 0.03540592991262562)","(188, 0.11168962089050835)","(616, 0.11349758716002012)"
"(623, 0.041357238782505724)","(623, 0.058893218329025346)","(577, 0.04703897911892546)","(19, 0.07060985366509161)","(192, 0.08611400641238985)","(670, 0.055203986404620285)","(580, 0.03536801031707294)","(326, 0.11026223332944132)","(611, 0.11236331573378489)"
"(17, 0.04107021682141627)","(50, 0.05853857938517354)","(642, 0.046427910390669215)","(572, 0.07046514910709611)","(581, 0.08605395424222978)","(19, 0.05476821990565311)","(635, 0.03536801031707294)","(439, 0.11003486836185418)","(625, 0.11187378977979312)"
"(58, 0.03959654151232271)","(17, 0.058484495514899336)","(551, 0.04538797122543596)","(464, 0.07014604418696521)","(3, 0.08600722065795802)","(24, 0.05430552666800964)","(554, 0.035248321275622045)","(3, 0.10966768292776319)","(665, 0.11187378977979312)"
"(206, 0.037375729608887645)","(18, 0.058371183071943326)","(302, 0.04531600626971194)","(465, 0.0701460441869652)","(634, 0.08543191506634128)","(649, 0.05040153777250484)","(645, 0.031191653222047266)","(215, 0.10778411388287396)","(670, 0.1109562735649716)"
"(309, 0.03729910022013269)","(585, 0.057889166702877456)","(327, 0.045316006269711905)","(215, 0.06928077653574455)","(603, 0.08404830896210594)","(299, 0.04957012785472676)","(477, 0.03084011057666021)","(175, 0.10743546904277759)","(607, 0.11062376406807467)"
"(135, 0.03624647345116694)","(312, 0.05728642704119117)","(231, 0.044203801710703636)","(531, 0.06789513712808533)","(293, 0.08368538505629027)","(562, 0.048527794462554175)","(151, 0.030626715776368735)","(181, 0.10690723518526489)","(666, 0.11062376406807467)"
"(20, 0.03581641941602897)","(58, 0.05638596369122129)","(546, 0.043549632341082556)","(49, 0.06583118638880385)","(24, 0.08347908326453886)","(476, 0.04709308062949585)","(310, 0.028587622388168945)","(669, 0.10565059210275346)","(328, 0.10987942210106236)"
"(18, 0.034297475409895854)","(617, 0.0555950005843389)","(621, 0.04317888364476449)","(398, 0.06552045611872503)","(285, 0.08270831463268756)","(66, 0.04702321837732287)","(616, 0.0274266978357183)","(628, 0.10436151951352364)","(653, 0.10810224803787608)"
"(585, 0.03401425441461761)","(539, 0.05315626363879814)","(478, 0.04279218965040756)","(104, 0.06466981164751172)","(80, 0.08236475240199764)","(290, 0.04696833052789275)","(320, 0.01683595826575728)","(64, 0.10246450256568782)","(580, 0.10789945052059763)"
"(233, 0.03397840582320605)","(309, 0.05311437894324969)","(612, 0.042251390839680956)","(124, 0.06274052926190327)","(443, 0.08182078147899019)","(547, 0.04682384231727536)","(98, 0.0)","(445, 0.09630264072366501)","(605, 0.10605569246840629)"
"(621, 0.03325222879132637)","(633, 0.05282847265912551)","(556, 0.040924768110129704)","(491, 0.062451577516208306)","(12, 0.08112708645688532)","(402, 0.04625977946355395)","(1, 0.0)","(656, 0.09606784490420121)","(608, 0.10605569246840629)"
"(55, 0.03243161298225418)","(457, 0.05282847265912543)","(461, 0.040335834108902596)","(329, 0.06220573002769683)","(622, 0.0810720418277128)","(491, 0.04474321989977905)","(10, 0.0)","(556, 0.09601164237608092)","(621, 0.1057703829596642)"
"(461, 0.031062785117670463)","(184, 0.051983162556896535)","(647, 0.03951516663227921)","(326, 0.06139847256791459)","(33, 0.08061157207182403)","(508, 0.044623843244248444)","(100, 0.0)","(166, 0.09531489522082257)","(612, 0.10334266765023876)"
"(647, 0.030430785853428486)","(135, 0.05161542543598847)","(127, 0.039030482446282454)","(173, 0.061103862737617476)","(53, 0.0801713900699556)","(326, 0.04391574805044447)","(101, 0.0)","(490, 0.09516570833248425)","(571, 0.10290891911582142)"
"(572, 0.029180890104159085)","(20, 0.05100302318355927)","(520, 0.038865626801506944)","(476, 0.06071469070229603)","(568, 0.08008449493902146)","(620, 0.04080084196298991)","(102, 0.0)","(142, 0.09345373750723578)","(416, 0.09942257933277981)"
"(215, 0.028690420045059905)","(197, 0.050012552904797364)","(622, 0.03725525638053469)","(71, 0.05991299232728395)","(421, 0.08000046167360116)","(234, 0.03808176784885849)","(103, 0.0)","(287, 0.09313939846968212)","(555, 0.09746352263586877)"
"(326, 0.02729534376885316)","(621, 0.047351584094697044)","(215, 0.037255256380534674)","(308, 0.05970377655441542)","(274, 0.07929415408240889)","(538, 0.036912657451358494)","(107, 0.0)","(145, 0.09208690512045657)","(394, 0.09657873532151176)"
"(100, 0.026340640925286103)","(287, 0.0466618583705661)","(300, 0.03629553078783433)","(501, 0.05961267468511288)","(320, 0.07848225551183448)","(53, 0.036644198197925464)","(109, 0.0)","(399, 0.09154449451874516)","(438, 0.0952715476623796)"
"(81, 0.02539870474016415)","(631, 0.04444835231389359)","(332, 0.03379727229081186)","(105, 0.059612674685112874)","(186, 0.07830145830434748)","(322, 0.03547791131818988)","(11, 0.0)","(615, 0.08981066772819023)","(546, 0.0934941448762169)"
"(151, 0.02451552991194693)","(647, 0.043333814537634775)","(81, 0.03298087847240303)","(195, 0.05961267468511285)","(522, 0.07762200882255879)","(65, 0.02965726260975559)","(111, 0.0)","(383, 0.08438376753690585)","(662, 0.09329259318750072)"
"(26, 0.023409710312146094)","(488, 0.04300639859134289)","(635, 0.03292042767508572)","(237, 0.0589919834986497)","(676, 0.07716939849871489)","(182, 0.029349609869860772)","(112, 0.0)","(386, 0.08207477422399267)","(320, 0.09279494778941756)"
"(294, 0.018145414873868)","(613, 0.04289247415653976)","(554, 0.03280902150896948)","(663, 0.05868046445421204)","(389, 0.07539893220399436)","(151, 0.02631549032099505)","(113, 0.0)","(388, 0.08207477422399248)","(421, 0.08993110672804747)"
"(157, 0.017318476503174366)","(572, 0.041553947568339404)","(326, 0.03257241791763271)","(228, 0.0572959767656842)","(130, 0.07504708524540177)","(320, 0.025017653518566788)","(114, 0.0)","(475, 0.08016187103448641)","(15, 0.08745576444905245)"
"(320, 0.015549443727907262)","(576, 0.041410439442268215)","(412, 0.03252513583323448)","(328, 0.05727913243876848)","(279, 0.07481740040001862)","(98, 0.0)","(115, 0.0)","(183, 0.07920181399403722)","(614, 0.08512319037001503)"
"(98, 0.0)","(217, 0.04108439636422987)","(212, 0.03102249283429955)","(197, 0.057269664030994295)","(52, 0.07422597858634729)","(1, 0.0)","(117, 0.0)","(178, 0.0788130594141355)","(19, 0.08159691236662424)"
"(1, 0.0)","(206, 0.038272636866242986)","(240, 0.030419703532248592)","(26, 0.05652907508342903)","(516, 0.07347996991805912)","(10, 0.0)","(12, 0.0)","(438, 0.0754978115847447)","(326, 0.08144567883734256)"
"(10, 0.0)","(326, 0.03757537924059211)","(26, 0.03039811749368998)","(80, 0.055515265886210696)","(460, 0.07312181562570996)","(100, 0.0)","(120, 0.0)","(185, 0.07549781158474461)","(613, 0.08096830456790655)"
"(101, 0.0)","(124, 0.036570030821905075)","(562, 0.030385189374545745)","(192, 0.05124707955412738)","(595, 0.07221409144721588)","(101, 0.0)","(121, 0.0)","(275, 0.07408651309417133)","(447, 0.08096524677010977)"
"(102, 0.0)","(81, 0.036168068942012445)","(151, 0.02949791133321049)","(240, 0.05070806388524068)","(561, 0.07213430904093827)","(102, 0.0)","(122, 0.0)","(662, 0.0733039738695964)","(215, 0.07961520511600353)"
"(104, 0.0)","(233, 0.0347937873313426)","(322, 0.029179924276478465)","(130, 0.0505830318174131)","(384, 0.07085887531830076)","(103, 0.0)","(123, 0.0)","(442, 0.06571959164407906)","(164, 0.07799348801685713)"
"(105, 0.0)","(26, 0.03333571633451603)","(645, 0.02903308822738838)","(332, 0.049561281648423994)","(468, 0.06886244888397548)","(107, 0.0)","(125, 0.0)","(228, 0.06537354297526243)","(155, 0.0779934880168571)"
"(108, 0.0)","(313, 0.03283271109032396)","(321, 0.028830451498711645)","(234, 0.04909686785051669)","(387, 0.06886244888397546)","(109, 0.0)","(127, 0.0)","(447, 0.06416080241736077)","(287, 0.07663052814427737)"
"(109, 0.0)","(330, 0.03254122846618908)","(323, 0.02883045149871163)","(649, 0.04890586715807111)","(611, 0.06747114488169147)","(111, 0.0)","(128, 0.0)","(50, 0.06370383749577263)","(597, 0.07544478090534407)"
"(110, 0.0)","(491, 0.03170555070060477)","(477, 0.02870587348931231)","(595, 0.04867354506035146)","(509, 0.06743779435705445)","(113, 0.0)","(131, 0.0)","(86, 0.06351236174707166)","(497, 0.07374917604538309)"
"(111, 0.0)","(173, 0.03050437092588943)","(104, 0.028041985267753224)","(146, 0.04864603580592534)","(30, 0.06727147052881313)","(114, 0.0)","(132, 0.0)","(200, 0.06202789697236136)","(291, 0.07234055226360049)"
"(113, 0.0)","(100, 0.026972738606227755)","(310, 0.026609264892067688)","(33, 0.04797254034569765)","(604, 0.06727147052881309)","(115, 0.0)","(133, 0.0)","(191, 0.06100797031179839)","(233, 0.07165368460440315)"
"(114, 0.0)","(22, 0.0255656114527109)","(272, 0.02636035614394206)","(538, 0.04758959384694275)","(541, 0.0672446293105934)","(116, 0.0)","(135, 0.0)","(502, 0.06047586476592472)","(200, 0.07140733265507193)"
"(117, 0.0)","(157, 0.02466172423142965)","(456, 0.025611179909226893)","(53, 0.0472434831164388)","(540, 0.06724462931059338)","(12, 0.0)","(136, 0.0)","(146, 0.060271428579117936)","(445, 0.06944308475877597)"
"(12, 0.0)","(23, 0.02059231031358853)","(616, 0.024840392100129383)","(579, 0.04673986105801984)","(479, 0.06623998871267482)","(121, 0.0)","(138, 0.0)","(524, 0.060271428579117894)","(166, 0.06890102677695134)"
"(121, 0.0)","(616, 0.01975177653651626)","(294, 0.023562292995202055)","(460, 0.04599985636183932)","(231, 0.06584931371961791)","(122, 0.0)","(139, 0.0)","(256, 0.0602714285791178)","(296, 0.06820332674716233)"
"(122, 0.0)","(226, 0.018629219372377562)","(124, 0.023174982271015266)","(619, 0.04383415493032389)","(307, 0.06568775529082392)","(123, 0.0)","(14, 0.0)","(186, 0.059567797808271074)","(461, 0.06536904785728205)"
"(123, 0.0)","(98, 0.0)","(329, 0.019694947804512267)","(331, 0.043480087727563066)","(619, 0.06503417141128576)","(125, 0.0)","(140, 0.0)","(384, 0.05390585628017192)","(226, 0.06313755019464493)"
"(124, 0.0)","(1, 0.0)","(400, 0.016801917135167304)","(639, 0.04338761539233148)","(529, 0.06364132260378261)","(128, 0.0)","(141, 0.0)","(173, 0.05254816449238473)","(299, 0.06199892687516613)"
"(125, 0.0)","(10, 0.0)","(663, 0.014778602002635019)","(157, 0.04182014409937375)","(648, 0.06339884451186166)","(129, 0.0)","(142, 0.0)","(468, 0.05238707580335451)","(390, 0.05273781026022001)"
"(126, 0.0)","(101, 0.0)","(320, 0.011477654617432212)","(86, 0.041737220558602114)","(50, 0.06298124337720197)","(131, 0.0)","(143, 0.0)","(387, 0.052387075803354485)","(617, 0.052473458669431504)"
"(127, 0.0)","(102, 0.0)","(98, 0.0)","(293, 0.04037769203109535)","(270, 0.06193823514360669)","(132, 0.0)","(144, 0.0)","(276, 0.05185221318897071)","(491, 0.05206850263008568)"
"(128, 0.0)","(103, 0.0)","(1, 0.0)","(569, 0.0400094075824173)","(86, 0.061923072552746344)","(135, 0.0)","(145, 0.0)","(461, 0.05153506317302868)","(397, 0.04633519592985156)"
"(129, 0.0)","(104, 0.0)","(10, 0.0)","(556, 0.039599904245192205)","(160, 0.06173253511967815)","(136, 0.0)","(147, 0.0)","(611, 0.05132864193388862)","(173, 0.04606658383502419)"
"(13, 0.0)","(105, 0.0)","(100, 0.0)","(219, 0.03877008278593163)","(125, 0.0600277965121358)","(138, 0.0)","(148, 0.0)","(158, 0.05033580408203241)","(508, 0.04532101781547069)"
"(130, 0.0)","(108, 0.0)","(101, 0.0)","(469, 0.038625712374138706)","(462, 0.05954185551631846)","(14, 0.0)","(149, 0.0)","(34, 0.050052697078232705)","(539, 0.045285743960484307)"
"(131, 0.0)","(109, 0.0)","(102, 0.0)","(597, 0.038569200176220786)","(560, 0.059431129214367245)","(140, 0.0)","(15, 0.0)","(151, 0.048942274291491436)","(26, 0.04103052183001736)"
"(133, 0.0)","(110, 0.0)","(103, 0.0)","(317, 0.038197317843789484)","(569, 0.05935961751549379)","(141, 0.0)","(153, 0.0)","(184, 0.04800582118804045)","(308, 0.040589098046115143)"
"(134, 0.0)","(111, 0.0)","(105, 0.0)","(642, 0.03760362705308616)","(161, 0.05894205664724564)","(142, 0.0)","(154, 0.0)","(491, 0.041049298717413606)","(66, 0.038795987145664644)"
"(136, 0.0)","(113, 0.0)","(108, 0.0)","(151, 0.037061015744546864)","(137, 0.05790343568856206)","(143, 0.0)","(155, 0.0)","(581, 0.03829539739205176)","(668, 0.037230857480786896)"
"(137, 0.0)","(114, 0.0)","(109, 0.0)","(496, 0.03521618700101641)","(613, 0.05778318235361821)","(145, 0.0)","(158, 0.0)","(26, 0.03745363751483644)","(14, 0.03600518957345882)"
"(138, 0.0)","(117, 0.0)","(110, 0.0)","(320, 0.03497710460286167)","(219, 0.05752090381433952)","(147, 0.0)","(159, 0.0)","(620, 0.037432396537671345)","(672, 0.03029915597797774)"
"(140, 0.0)","(12, 0.0)","(111, 0.0)","(137, 0.03445876110999406)","(29, 0.05708173558957771)","(148, 0.0)","(162, 0.0)","(240, 0.03003781567980869)","(185, 0.027574862132555666)"
"(141, 0.0)","(121, 0.0)","(112, 0.0)","(110, 0.03365341072097656)","(633, 0.056837779951881565)","(149, 0.0)","(163, 0.0)","(476, 0.02780113690836015)","(313, 0.024791378941203965)"
"(143, 0.0)","(123, 0.0)","(113, 0.0)","(28, 0.031723009077834693)","(457, 0.056837779951881474)","(15, 0.0)","(164, 0.0)","(226, 0.024119322137318003)","(98, 0.0)"
"(144, 0.0)","(125, 0.0)","(114, 0.0)","(299, 0.03018605121538287)","(252, 0.054905009917851876)","(153, 0.0)","(165, 0.0)","(109, 0.020174713359947537)","(1, 0.0)"
"(145, 0.0)","(126, 0.0)","(117, 0.0)","(330, 0.0297631102792241)","(518, 0.0540202242020513)","(154, 0.0)","(167, 0.0)","(98, 0.0)","(10, 0.0)"
