Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8,Topic-9,Topic-10,Topic-11,Topic-12,Topic-13,Topic-14,Topic-15,Topic-16,Topic-17,Topic-18
"(608, 0.3022852414027141)","(507, 0.2941745241269155)","(26, 0.29325863872586644)","(160, 0.34925311494320155)","(612, 0.35823657027067685)","(387, 0.3868673592298276)","(475, 0.41443711017942203)","(495, 0.3621339499200492)","(604, 0.4124709808515489)","(475, 0.2743738061453957)","(475, 0.18157737825400683)","(261, 0.29773353590775853)","(181, 0.3504843233038737)","(389, 0.28878103541325845)","(537, 0.3245437636571851)","(638, 0.26775896107855557)","(475, 0.2710923546943941)","(507, 0.29338978283655753)"
"(21, 0.29662124855579364)","(21, 0.2718972584371965)","(222, 0.2843378098617483)","(616, 0.31377851622021724)","(667, 0.3519846415103798)","(134, 0.34144824778049865)","(638, 0.3600076059597748)","(496, 0.3575988733530157)","(160, 0.40729030563515484)","(604, 0.24332001962537816)","(445, 0.1781120452145474)","(428, 0.24981534656115167)","(645, 0.32025022749959653)","(667, 0.2371512932889138)","(302, 0.2740402587910294)","(635, 0.2622292082307512)","(387, 0.2599538118686337)","(524, 0.26530782904278033)"
"(586, 0.29597496834813053)","(263, 0.26669298318954887)","(21, 0.27107771216419796)","(161, 0.28456176539652706)","(227, 0.34516179988460904)","(160, 0.3341324692267071)","(387, 0.32909466361369916)","(638, 0.33822246857833355)","(327, 0.35981390825096154)","(287, 0.21952349502505317)","(517, 0.1678218345205804)","(497, 0.24539160685666775)","(667, 0.3150578024867258)","(40, 0.23001743138771297)","(13, 0.2733917129530378)","(653, 0.2291018043183434)","(181, 0.2570959120509804)","(139, 0.26470369135021493)"
"(40, 0.27312086013814446)","(180, 0.26210616293564487)","(139, 0.2611918292851655)","(592, 0.28396585259201634)","(445, 0.3140019265814907)","(604, 0.3327522266790425)","(635, 0.31886595970894094)","(41, 0.3257608061945324)","(594, 0.34357647627241084)","(290, 0.21413268746709693)","(535, 0.16647498610932115)","(412, 0.24131593538194154)","(445, 0.2949176816126882)","(21, 0.22403393280801606)","(27, 0.2675434704592585)","(622, 0.20377037325905126)","(122, 0.24996629133101048)","(473, 0.25878792521453253)"
"(612, 0.27028324534671067)","(122, 0.25895643300759874)","(53, 0.25070821314732133)","(326, 0.2817325769070779)","(178, 0.3104140557005788)","(287, 0.3305414848714827)","(445, 0.3187516966837598)","(23, 0.3252971949440972)","(326, 0.341214419082906)","(493, 0.21016313802783249)","(383, 0.1650060962755901)","(164, 0.24086409249601284)","(227, 0.2689911771842354)","(445, 0.20881435689963848)","(122, 0.2585308484903655)","(209, 0.16012126165223367)","(110, 0.23718552479561367)","(564, 0.2555471917471505)"
"(529, 0.26814539150443406)","(402, 0.25734884246563516)","(564, 0.24839462327357492)","(425, 0.27907549184506397)","(638, 0.28479833125876297)","(290, 0.3154797156563327)","(653, 0.31474881532999904)","(517, 0.3183242712259815)","(167, 0.33924936792548993)","(412, 0.20289286514024843)","(667, 0.1638260154049576)","(429, 0.24047223602985524)","(49, 0.2579139582679055)","(181, 0.20506175023065126)","(407, 0.2563921305046358)","(231, 0.15556933837241313)","(457, 0.23555267495541543)","(222, 0.25081069591606286)"
"(222, 0.25910172022149014)","(222, 0.25113616198911515)","(462, 0.243623144457499)","(327, 0.2741996821087401)","(653, 0.2667555650902493)","(478, 0.3050965699973378)","(181, 0.3070139063953388)","(521, 0.31699026622992554)","(568, 0.33796700421054493)","(668, 0.18742773232827029)","(174, 0.16256349984133558)","(577, 0.22261548960609787)","(68, 0.2519588315163811)","(645, 0.19843243607869573)","(387, 0.23886419346272586)","(244, 0.15245976708027642)","(463, 0.2340952063066853)","(200, 0.2480354547958686)"
"(507, 0.2579239316090692)","(53, 0.25088667764371686)","(619, 0.24314757171072052)","(618, 0.262650512431275)","(635, 0.26459049835636883)","(493, 0.3050341715846885)","(535, 0.3051464597488104)","(635, 0.3099636894649827)","(161, 0.33736453288135043)","(134, 0.1805244400794565)","(181, 0.1508016908322678)","(550, 0.2179181426231009)","(23, 0.22398781845604915)","(227, 0.18844622496500127)","(143, 0.23749691704775722)","(447, 0.15240898040775228)","(25, 0.23293124189214642)","(558, 0.24426929322675078)"
"(53, 0.2456440395041552)","(528, 0.2493104095362894)","(385, 0.24086028795617045)","(604, 0.2605886663656294)","(645, 0.26262236765030494)","(475, 0.3049333245086622)","(174, 0.2945391107051854)","(231, 0.3086812434665639)","(643, 0.3269687848110225)","(383, 0.17844611098110214)","(537, 0.14849365167963235)","(287, 0.20928601888226736)","(517, 0.22289919009858156)","(111, 0.17738045883047496)","(475, 0.23739698521351793)","(517, 0.13740558890125465)","(151, 0.22976676314292813)","(529, 0.23699102942439637)"
"(385, 0.2398037447294566)","(385, 0.24204236713675364)","(529, 0.23724482963872506)","(674, 0.25281338055196567)","(134, 0.2540191540709108)","(572, 0.2946233683144215)","(383, 0.28991928357687213)","(653, 0.3026600962269119)","(616, 0.3255307603560135)","(633, 0.17500912136200672)","(638, 0.14671129299589708)","(604, 0.20865082647432656)","(310, 0.2205106414576478)","(661, 0.17551046053760994)","(293, 0.23544887370152942)","(416, 0.13404451412879984)","(555, 0.22584269602683293)","(21, 0.23662261423922376)"
"(497, 0.23511945668807716)","(529, 0.238179837746106)","(308, 0.22522081055421458)","(501, 0.2524386874717497)","(399, 0.2539254258489107)","(182, 0.290587958693285)","(158, 0.28915443655235096)","(416, 0.2980673328074664)","(592, 0.32487793658167696)","(145, 0.17276714500175952)","(387, 0.14651085938845698)","(180, 0.20819222813759036)","(151, 0.21836898097495724)","(49, 0.16998709378861818)","(383, 0.22936945786248877)","(671, 0.13384498270947626)","(184, 0.2247521966455842)","(608, 0.23244957123989166)"
"(227, 0.23491903957222415)","(569, 0.23794204446036268)","(524, 0.22254418936521395)","(587, 0.24753617713123807)","(181, 0.25281718368871653)","(383, 0.2901897236110477)","(518, 0.28503240587636947)","(645, 0.2969495460363632)","(169, 0.3247309583936899)","(598, 0.16992077362702965)","(130, 0.14575322436588792)","(98, 0.20768934568596428)","(291, 0.21116180380971283)","(478, 0.16860165018570838)","(535, 0.22560123152705983)","(317, 0.1330106538863517)","(21, 0.22076931409321934)","(586, 0.2323669158031713)"
"(32, 0.23198972991493555)","(586, 0.23296116854343207)","(478, 0.21439621178355198)","(53, 0.24577590635147506)","(242, 0.2465864273921666)","(15, 0.2890835913546138)","(528, 0.273512353602912)","(174, 0.2919394024799624)","(627, 0.29584113943724705)","(517, 0.16828849605145182)","(13, 0.14315233161980898)","(457, 0.20695215217569207)","(217, 0.21017579840491055)","(178, 0.1671451833774204)","(660, 0.22509260777594464)","(243, 0.1294270204804181)","(174, 0.21383074385001918)","(385, 0.22456188017832218)"
"(569, 0.22936118473066955)","(414, 0.22878422650715788)","(400, 0.2128173541997017)","(629, 0.24328244204108185)","(179, 0.23375882920765723)","(598, 0.2834898075329202)","(14, 0.2721995842113771)","(554, 0.2856853898183858)","(39, 0.289973858666436)","(15, 0.16755844449426238)","(645, 0.14236741340239123)","(645, 0.19957273938690548)","(534, 0.20285193770932053)","(469, 0.16313525271354296)","(174, 0.219996194573354)","(600, 0.11999836486943465)","(667, 0.2096780944053079)","(329, 0.2222671829757929)"
"(285, 0.2266159301308957)","(74, 0.22685596562694438)","(191, 0.21127523587945782)","(608, 0.23640958906214388)","(317, 0.23144415192761508)","(575, 0.2793171577318964)","(184, 0.2669356200844928)","(397, 0.2846069115371189)","(53, 0.28013078374635936)","(291, 0.16687195512483197)","(32, 0.13828991251975614)","(68, 0.19800424400412758)","(641, 0.20174407253017665)","(534, 0.15729241134505834)","(243, 0.2152548032567769)","(427, 0.11988616796368197)","(572, 0.20930590723322354)","(141, 0.21742436129394527)"
"(667, 0.2250725753806285)","(619, 0.2263698095287978)","(180, 0.2108921401272701)","(277, 0.23501842889985988)","(517, 0.23108467273512157)","(174, 0.278027759916069)","(217, 0.2647750227380628)","(124, 0.28375204895983114)","(65, 0.2784939861979498)","(662, 0.1666561244540276)","(598, 0.13736333433300357)","(593, 0.1977925034538622)","(31, 0.2007329787126696)","(32, 0.15576516920927627)","(510, 0.20536837742519334)","(134, 0.11867596815351401)","(291, 0.20832123754565637)","(26, 0.2105215246199138)"
"(78, 0.22303684871736526)","(561, 0.22115565655619168)","(217, 0.21078954494619756)","(385, 0.23329436834595013)","(656, 0.2181808828276008)","(495, 0.26668265440969463)","(667, 0.2611169225022541)","(547, 0.2774937573614219)","(273, 0.2755378118503512)","(112, 0.16368482234797574)","(240, 0.13628170206567378)","(586, 0.19729112694058623)","(123, 0.20034373969667815)","(608, 0.15475753660996608)","(158, 0.20030688093108728)","(547, 0.11855142682199143)","(661, 0.20672881833556683)","(71, 0.20893335921139636)"
"(178, 0.22185363755904958)","(207, 0.21762944514589916)","(394, 0.2104544613962937)","(586, 0.23274976817907814)","(215, 0.21462533144561644)","(412, 0.2666236876384836)","(502, 0.26109255955188454)","(24, 0.2772808328434485)","(421, 0.2744911730084067)","(671, 0.16344813158742758)","(523, 0.13437122686833375)","(140, 0.19612989490946642)","(387, 0.1996190650197961)","(421, 0.15392595362235134)","(523, 0.19832935499600315)","(595, 0.11820276512578923)","(478, 0.20302384120953607)","(528, 0.2058271676984858)"
"(475, 0.22151503825542065)","(580, 0.2163010687386206)","(40, 0.21008541390935587)","(149, 0.23172886899053727)","(40, 0.21174927516170763)","(308, 0.265598526571854)","(555, 0.26025470981751364)","(242, 0.2767196477882846)","(112, 0.2743479181588354)","(651, 0.1625649911719186)","(518, 0.13209328690201505)","(200, 0.1961038472020603)","(194, 0.19893920487639302)","(31, 0.152136673571638)","(598, 0.1972817754999399)","(386, 0.11818484742318905)","(523, 0.2021450128747931)","(680, 0.20365609430074194)"
"(528, 0.2187846822838967)","(138, 0.21605340383299404)","(402, 0.20986768626009736)","(50, 0.23088653874520534)","(671, 0.20929115775254148)","(629, 0.26517437709977937)","(656, 0.25589769547652397)","(595, 0.2761992158560565)","(277, 0.27358630110320925)","(242, 0.1612048377805677)","(668, 0.13056038664078207)","(32, 0.1932732633400807)","(402, 0.19881133454739786)","(673, 0.15059156872609983)","(677, 0.19564894368896327)","(674, 0.11642404117819945)","(530, 0.2019637941400941)","(98, 0.20321452130227147)"
"(445, 0.21784698665263957)","(498, 0.21582590306864716)","(200, 0.20727334319473123)","(505, 0.22932905808566154)","(231, 0.2070449177408484)","(161, 0.2650371011713054)","(457, 0.2535337369537564)","(317, 0.27418427108807214)","(134, 0.27205105159485166)","(217, 0.16053663000798213)","(122, 0.1303270552932191)","(546, 0.1926489181878318)","(457, 0.19714316969161771)","(310, 0.14983245436996412)","(499, 0.19166982159789323)","(445, 0.11259216510562874)","(413, 0.19997687105814607)","(53, 0.20287457202700962)"
"(509, 0.2103166321107635)","(478, 0.2149460411268897)","(234, 0.20270946245673996)","(151, 0.22543511326298768)","(68, 0.204497261614078)","(116, 0.25908756032398106)","(586, 0.25348756941075257)","(275, 0.27026075923092496)","(178, 0.26554174582239604)","(33, 0.15888431100486305)","(635, 0.1299451363106939)","(137, 0.19160149358802792)","(522, 0.19565761738638993)","(116, 0.14701648234787165)","(444, 0.18919176804327548)","(458, 0.11075871230704078)","(57, 0.19641233834882407)","(92, 0.20160124389366846)"
"(675, 0.20981828497722035)","(400, 0.2133271501203261)","(92, 0.20185377694767123)","(21, 0.22539352685492994)","(21, 0.19933547282588293)","(480, 0.2585508995339334)","(671, 0.24787599420412063)","(555, 0.26774797084809326)","(672, 0.26478138090551445)","(175, 0.15758874886882973)","(158, 0.12715176045243956)","(576, 0.19151267623667034)","(167, 0.19284946031000205)","(160, 0.14417143639234994)","(310, 0.18573640615372555)","(295, 0.11075831508702921)","(39, 0.19627086833400484)","(234, 0.20090592286790412)"
"(170, 0.2075336927240123)","(394, 0.21247285194712526)","(507, 0.1998648744119222)","(197, 0.22344957383527947)","(243, 0.1979980263464262)","(587, 0.2584669847103843)","(447, 0.2461333607793678)","(200, 0.26476325540414997)","(50, 0.26322213555685053)","(537, 0.1539263992719818)","(132, 0.1265048925304826)","(166, 0.1907456941572388)","(635, 0.18862410013538689)","(103, 0.14279582823616754)","(294, 0.18517190138038525)","(395, 0.10997086542213161)","(401, 0.19563217343520678)","(313, 0.19825406225401812)"
"(400, 0.20613015706099394)","(667, 0.21138295169892793)","(604, 0.19898691198500082)","(29, 0.2227199059303228)","(23, 0.19779846411725757)","(528, 0.25815325144343637)","(326, 0.24460751101636266)","(613, 0.26457746831986934)","(493, 0.262067096175757)","(224, 0.15372480141551073)","(653, 0.12553014918270874)","(416, 0.1907026905344718)","(475, 0.1882060592615814)","(68, 0.1398614252364081)","(130, 0.18500654215367351)","(41, 0.1089732935871316)","(384, 0.19455010640131704)","(157, 0.19643581345612407)"
"(604, 0.20471321217886665)","(40, 0.21136361648155258)","(34, 0.19621266820927435)","(478, 0.2226255767779565)","(673, 0.19143011970562368)","(497, 0.25074343156992834)","(116, 0.24430162848767198)","(261, 0.26347690450509514)","(622, 0.2617081708808817)","(174, 0.1515543171279521)","(310, 0.12501081599353964)","(94, 0.1893371535333007)","(295, 0.18798017753426904)","(572, 0.1389755930417709)","(79, 0.18491854149786197)","(575, 0.10707831157393786)","(638, 0.19258071133390514)","(418, 0.1959785587483439)"
"(534, 0.20372231498555937)","(261, 0.21104201517656793)","(669, 0.19573146947166425)","(671, 0.21977104968456918)","(32, 0.18932210501280206)","(586, 0.24749562803000147)","(175, 0.24071369100215118)","(440, 0.2588167818679528)","(37, 0.25709595445391964)","(233, 0.1507576068026174)","(243, 0.1244812652129207)","(161, 0.18832293275960785)","(178, 0.18625154409646907)","(138, 0.1370868663385755)","(497, 0.1832276085523352)","(543, 0.10631283383110614)","(601, 0.1911403788736046)","(32, 0.19486410876611357)"
"(308, 0.2030291853633075)","(71, 0.21056459546766748)","(494, 0.19551343300356733)","(183, 0.21614470092392848)","(103, 0.18884150815117948)","(638, 0.24682780588299624)","(231, 0.2404624673642481)","(387, 0.25697492726313526)","(618, 0.2566287999727845)","(130, 0.15014919123903991)","(677, 0.12360290545657916)","(552, 0.18631205239168946)","(134, 0.1853927227117821)","(60, 0.13579175535094157)","(184, 0.1807655611825755)","(619, 0.1056567431978785)","(188, 0.1899573291095739)","(569, 0.19041216819214837)"
"(680, 0.20209100343269984)","(558, 0.20993326275855503)","(170, 0.1953539990950091)","(273, 0.21151948520846695)","(442, 0.18818259044429675)","(568, 0.24652603966652348)","(575, 0.2389381029644779)","(113, 0.2558429650784678)","(425, 0.2523218911370111)","(70, 0.1499867230088339)","(188, 0.11884252155946745)","(112, 0.18583379671274944)","(34, 0.18242559482180834)","(592, 0.13499407269682856)","(641, 0.1800463666632551)","(554, 0.1054159883899406)","(626, 0.18993836468152353)","(414, 0.19026267911199526)"
"(580, 0.20001527234945427)","(599, 0.20883632716011297)","(96, 0.19441106325965377)","(148, 0.21094656976623663)","(622, 0.1853242282770916)","(153, 0.24529114543346867)","(622, 0.23827831527872428)","(233, 0.2544725041074588)","(170, 0.25188490144329473)","(13, 0.14991731629802324)","(227, 0.11734745137123231)","(240, 0.1853334666461726)","(638, 0.1810454252519154)","(399, 0.1324243437662531)","(217, 0.18002996479522332)","(290, 0.10526417623320836)","(13, 0.18850723317130488)","(191, 0.18759239261440078)"
"(200, 0.199853024849404)","(200, 0.20821074291846894)","(497, 0.19373528724441924)","(572, 0.21053284342331058)","(548, 0.18329897776093226)","(535, 0.24194252174460323)","(572, 0.23713743007188098)","(427, 0.2544046479676273)","(385, 0.24971045803905337)","(538, 0.1490202769013758)","(184, 0.116893734604155)","(475, 0.18494395322065132)","(554, 0.17704712560225178)","(626, 0.13042484136513366)","(445, 0.1798761476591676)","(175, 0.10490305296541631)","(586, 0.18830543347717843)","(571, 0.18708981112219542)"
"(414, 0.19933512110522558)","(174, 0.2073055441160395)","(643, 0.19192243169625844)","(247, 0.21039056475728365)","(535, 0.17922568665113442)","(242, 0.23861566295424994)","(244, 0.23604551313617295)","(132, 0.2512755023872622)","(182, 0.24797579467924458)","(387, 0.1487206637900466)","(447, 0.11517379322081515)","(542, 0.18481661951876238)","(174, 0.16906046352843043)","(505, 0.12487088769213822)","(227, 0.17961689311763776)","(111, 0.10470161341252364)","(44, 0.18685622795806206)","(308, 0.18623999174306316)"
"(212, 0.19669274115011084)","(473, 0.2068321032103446)","(598, 0.19173852637328645)","(470, 0.20862431575050308)","(447, 0.17890568640060375)","(620, 0.2382975233024681)","(517, 0.2348683512286903)","(550, 0.24762582235375502)","(13, 0.24691824383677102)","(27, 0.14785187823989154)","(20, 0.11445508164415649)","(44, 0.18450371046113687)","(523, 0.16807846000036467)","(641, 0.124572415689831)","(123, 0.17951811995552366)","(179, 0.10380024172817925)","(639, 0.18530261487431693)","(216, 0.1801238962043506)"
"(324, 0.1962234823345986)","(680, 0.20369346815571907)","(569, 0.19056155135396602)","(667, 0.20858620766739688)","(528, 0.1761353578837288)","(217, 0.2369950885866931)","(242, 0.23230772840620126)","(68, 0.2450566951662539)","(416, 0.24455721274137351)","(521, 0.14457647785340738)","(575, 0.11171653790590091)","(480, 0.18210115097753504)","(293, 0.16660539323549858)","(387, 0.12393768180298156)","(263, 0.17705143177458557)","(33, 0.1036851562930522)","(656, 0.18453651578920935)","(40, 0.17816541872467914)"
"(673, 0.19516809382523967)","(199, 0.20360804788018289)","(103, 0.19017247193502293)","(187, 0.20751535399850027)","(666, 0.17532024708000934)","(267, 0.23561552167843614)","(201, 0.23213420619897032)","(182, 0.24416211878253213)","(588, 0.24231165391069615)","(294, 0.14399362398477786)","(407, 0.11092421296026977)","(540, 0.18205266085387548)","(133, 0.16484151527907423)","(575, 0.12329836246522562)","(124, 0.1751068308149461)","(495, 0.10166555441717193)","(588, 0.18316391689980935)","(465, 0.17727652259305568)"
"(92, 0.19407427611576825)","(578, 0.20341445054756896)","(414, 0.1898937471438047)","(421, 0.20730296019910893)","(547, 0.17497882923731764)","(616, 0.23064048188438355)","(495, 0.22755567333125495)","(575, 0.2388245534385695)","(183, 0.24053580621972911)","(568, 0.14392000845775235)","(554, 0.11033256694966945)","(9, 0.1805501833690298)","(521, 0.16243574091327448)","(676, 0.12309321309990293)","(580, 0.17510429296960303)","(502, 0.10112648822114667)","(575, 0.18270786156186852)","(7, 0.1754387527880135)"
"(103, 0.19374052495199162)","(45, 0.20293242598456482)","(528, 0.18979098912630174)","(568, 0.20619912066075224)","(595, 0.17434859442783376)","(597, 0.22883499653937273)","(178, 0.2261483292415321)","(386, 0.23838758987915418)","(486, 0.24029141806196744)","(161, 0.1427527684915709)","(290, 0.11016258537013048)","(633, 0.17989331476813428)","(399, 0.16077128514137404)","(440, 0.12050721728793763)","(290, 0.17382891701090603)","(394, 0.10073210269888844)","(598, 0.18211275607505517)","(501, 0.17448832590762334)"
"(45, 0.19286608627271642)","(234, 0.20251402577049077)","(558, 0.1893669087476185)","(70, 0.20551581754990011)","(41, 0.17373471620731873)","(442, 0.22782203718998603)","(427, 0.22566150616959224)","(458, 0.23608711197330928)","(654, 0.24011852073833145)","(42, 0.14195623021934248)","(209, 0.10879358476126523)","(467, 0.17923366160615303)","(416, 0.1596480197134636)","(670, 0.12029843812879581)","(554, 0.17335632546805024)","(535, 0.10065807433500219)","(485, 0.18080886464128243)","(207, 0.17393648386817104)"
"(157, 0.19194856999230508)","(597, 0.20213679281674632)","(140, 0.18888215059566155)","(39, 0.20364101825428466)","(600, 0.17256527682945047)","(112, 0.22586978421773932)","(618, 0.22395646325527155)","(442, 0.23553581020061218)","(488, 0.23863636184562564)","(182, 0.14112515168806755)","(33, 0.1085057391193677)","(536, 0.17569629212060156)","(551, 0.1586047857099148)","(424, 0.11957092717521153)","(267, 0.17223135324665745)","(669, 0.09984258496333817)","(635, 0.18025032993367432)","(122, 0.16960807371099554)"
"(207, 0.1915552153771186)","(589, 0.2017476234685561)","(522, 0.1878339543449604)","(390, 0.2031138057686438)","(383, 0.17152558058458334)","(169, 0.22464840327356458)","(134, 0.22187193859668486)","(9, 0.23486473072608938)","(77, 0.23650242228113785)","(385, 0.14080194016627084)","(175, 0.10839349022572295)","(128, 0.17554035611342253)","(617, 0.1567529974588591)","(151, 0.11757695793630035)","(181, 0.17029223559252624)","(174, 0.09921075803284903)","(673, 0.17827924015222166)","(400, 0.16957174515725218)"
"(141, 0.18856463010264174)","(98, 0.20173844263022575)","(677, 0.18751393492521762)","(581, 0.20256743498734728)","(618, 0.169183100341553)","(298, 0.2242563929921449)","(63, 0.2176471602847696)","(243, 0.23468664912698886)","(518, 0.23484461548684601)","(115, 0.13873515292177901)","(79, 0.10805759259123882)","(149, 0.17401981853569948)","(244, 0.15661951108287314)","(6, 0.11726435392971477)","(298, 0.1695086709146335)","(620, 0.09851122493715292)","(20, 0.17783958888366502)","(612, 0.1688934502322179)"
"(180, 0.18660072790691318)","(329, 0.20099657344920638)","(608, 0.18655620607493026)","(170, 0.20131261903284356)","(184, 0.1684992982851347)","(652, 0.2231972340829686)","(384, 0.21753956675437575)","(38, 0.23348004714291692)","(390, 0.23464047417353678)","(124, 0.13849855873706082)","(495, 0.10645795065699319)","(468, 0.1738506363703307)","(103, 0.15538387031114723)","(610, 0.11629228064127081)","(305, 0.16932584771104134)","(300, 0.09788040804676616)","(58, 0.17781171975471824)","(614, 0.1687469206007145)"
"(558, 0.186520686961971)","(212, 0.19873535141688714)","(574, 0.18618268520891787)","(493, 0.1997210833078325)","(132, 0.16676351501138495)","(394, 0.22268063993178766)","(478, 0.21717167841221627)","(175, 0.23236293245574868)","(188, 0.23137237416520226)","(231, 0.13849543059859534)","(298, 0.10575035492026535)","(502, 0.17319024681965406)","(653, 0.15490735776341288)","(182, 0.1158048293181945)","(400, 0.16916473881300426)","(444, 0.09712241112703475)","(587, 0.1776836900330869)","(145, 0.1674828342252217)"
"(169, 0.1861668024143075)","(81, 0.19753024788176973)","(161, 0.1846390298322655)","(415, 0.19913728250358095)","(31, 0.16562483092815697)","(635, 0.22099422926518994)","(41, 0.21235268363568202)","(504, 0.23034972281732552)","(274, 0.23028046188601975)","(165, 0.1384372421497027)","(502, 0.10574061339861172)","(62, 0.17236863450892673)","(40, 0.15398468757021697)","(612, 0.11525913818514905)","(668, 0.16903434599626155)","(617, 0.09710312970482991)","(158, 0.1770971101939953)","(599, 0.1669624309397991)"
"(524, 0.17824111453907082)","(551, 0.19724349713522232)","(586, 0.18302248664530904)","(528, 0.19852982134077873)","(534, 0.16523163615650477)","(231, 0.2209615782735838)","(601, 0.21202308213123133)","(656, 0.229289207589968)","(149, 0.2300067300222868)","(240, 0.13836280440807516)","(217, 0.10426584637743895)","(595, 0.1722969626028561)","(424, 0.15368777497585442)","(34, 0.11510121179630994)","(229, 0.16798442907583783)","(383, 0.0970514088548734)","(461, 0.17664519636525927)","(324, 0.1668304008648049)"
"(398, 0.17793515351633998)","(157, 0.19678021676524587)","(165, 0.18255276535760415)","(518, 0.19703371339157724)","(641, 0.16474181996582457)","(671, 0.21951921863415005)","(227, 0.21192412538766048)","(244, 0.22899366035486982)","(629, 0.22930133451713314)","(593, 0.13827789018055972)","(231, 0.10426570867228319)","(109, 0.17136828035477952)","(538, 0.15268393783624779)","(170, 0.11455256893073673)","(188, 0.16616087658007753)","(555, 0.0968927820862084)","(400, 0.17626935545343334)","(478, 0.16597153282494925)"
"(181, 0.17777794776678255)","(170, 0.19593252615289175)","(561, 0.18174220620334772)","(108, 0.19699081127218418)","(310, 0.16423546589488838)","(633, 0.21779113130957112)","(188, 0.211730525964802)","(618, 0.22499609536175333)","(603, 0.22809793457664088)","(638, 0.1376648465414278)","(123, 0.10408028621160015)","(103, 0.1708546357545744)","(21, 0.1518249335035975)","(134, 0.11365048456659611)","(490, 0.16575077665335552)","(132, 0.09641931629083188)","(201, 0.17404991298680283)","(29, 0.16492741759242746)"
"(412, 0.17639169125422896)","(96, 0.1948252107227667)","(580, 0.18129438055254735)","(594, 0.1952772897113402)","(676, 0.162785624882793)","(188, 0.2173213894082729)","(243, 0.21017268794015131)","(300, 0.22350773926796091)","(572, 0.22549725290567701)","(122, 0.13689094164980103)","(229, 0.10346293387991441)","(400, 0.1699350069433503)","(207, 0.1517252007589164)","(197, 0.11302922610638912)","(517, 0.16559276905249437)","(397, 0.09601606620418418)","(215, 0.17375780585251968)","(447, 0.16469065826526097)"
"(234, 0.17524200613242974)","(497, 0.1946790107634879)","(216, 0.179903429489972)","(134, 0.19512672375192835)","(608, 0.16224388770986162)","(518, 0.2144313155675986)","(129, 0.20993510949919186)","(394, 0.2192444160505041)","(501, 0.22541162440904136)","(497, 0.13652410875215504)","(444, 0.1029804822929769)","(541, 0.16923640288017475)","(28, 0.15096389895859758)","(394, 0.11296904854145913)","(20, 0.16429328242461852)","(521, 0.095915090032339)","(160, 0.17361819509114038)","(142, 0.164208893184852)"
"(387, 0.1744438385855539)","(137, 0.1931101061959609)","(465, 0.17729761113957082)","(114, 0.19336455056380406)","(244, 0.1621618328760537)","(318, 0.21333775685564277)","(267, 0.20942310387599036)","(593, 0.2179287290564539)","(163, 0.22509780333260454)","(147, 0.13486556528516594)","(143, 0.10216346925634774)","(160, 0.16852607911067644)","(32, 0.15038915877567186)","(218, 0.11271916929385634)","(240, 0.163377894170307)","(475, 0.09376382018055836)","(231, 0.17227651141152836)","(462, 0.16284339438747789)"
"(671, 0.1730561667339049)","(274, 0.19262198670133138)","(304, 0.1761266118640865)","(167, 0.19303236147859584)","(398, 0.16135259210394362)","(595, 0.21310811627615822)","(40, 0.20885438603908657)","(153, 0.217345989750931)","(665, 0.2232359666855997)","(308, 0.13437466159319375)","(293, 0.10170255967674849)","(385, 0.1677968763241354)","(621, 0.14910129001713196)","(391, 0.11094410208746669)","(127, 0.15964297585751644)","(537, 0.09374019963308804)","(31, 0.17051246085378574)","(39, 0.16283007390424042)"
"(18, 0.17234824296144294)","(221, 0.19194866347024217)","(329, 0.17414874919861692)","(463, 0.19300365352597004)","(543, 0.1568361111218594)","(277, 0.210293239451366)","(277, 0.20878522468097152)","(252, 0.21547177388574562)","(556, 0.22165395363285822)","(85, 0.13333462136348223)","(63, 0.101554925048649)","(680, 0.16737034488758548)","(6, 0.14795235057638415)","(110, 0.11059931395565767)","(609, 0.15894117189536475)","(24, 0.09349962859437495)","(243, 0.1700856734242201)","(581, 0.16152895637247344)"
"(626, 0.17170194612557718)","(44, 0.19050620081636613)","(61, 0.17221319596792092)","(488, 0.19253876833189917)","(620, 0.15553746701512822)","(574, 0.20980054268539752)","(122, 0.20874482185885798)","(446, 0.21524202988447094)","(394, 0.22085910950527585)","(427, 0.1318039738715676)","(134, 0.10067982964437111)","(41, 0.16593884592424232)","(440, 0.1472147694907809)","(188, 0.1104692510594591)","(667, 0.15835556050209018)","(645, 0.09292442595281089)","(87, 0.16997846430119537)","(675, 0.16102943047016452)"
"(96, 0.1711542537572233)","(11, 0.19043672501202208)","(261, 0.1689766961807702)","(627, 0.1921778090299857)","(151, 0.15549060641515783)","(627, 0.20977029655140697)","(554, 0.20843495190886377)","(486, 0.21368500862411166)","(674, 0.220772320400341)","(518, 0.13179300382458203)","(538, 0.10064796781592068)","(625, 0.1647271014116913)","(24, 0.147003666309125)","(664, 0.11007590007194884)","(6, 0.1570842144723521)","(479, 0.09260004821208116)","(599, 0.16940685932707455)","(34, 0.16033115777717324)"
