Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8,Topic-9,Topic-10,Topic-11,Topic-12,Topic-13,Topic-14,Topic-15,Topic-16,Topic-17,Topic-18
"(182, 0.11156260628127167)","(650, 0.13500336959817355)","(425, 0.10989673976118408)","(95, 0.12825471757385695)","(136, 0.07950096960833117)","(662, 0.14262071250660557)","(617, 0.13055722010838047)","(546, 0.13063496771510819)","(231, 0.15790452199226307)","(677, 0.08497696225328098)","(29, 0.054993901927847214)","(607, 0.1056178979673891)","(470, 0.08282807897418064)","(623, 0.06403944638005132)","(114, 0.0880726850746382)","(321, 0.031196141819491097)","(287, 0.10887005798516701)","(279, 0.11054021705404496)"
"(153, 0.11132240311678708)","(276, 0.13368880003552386)","(29, 0.10978797013372738)","(595, 0.1281888011576427)","(457, 0.07941077677036174)","(385, 0.14244412648305588)","(132, 0.1296378156964725)","(21, 0.1305535776136316)","(482, 0.15773265364461975)","(248, 0.08493214095432274)","(609, 0.05498019385870753)","(679, 0.10556588043081419)","(88, 0.08258051247702144)","(240, 0.06367208170375517)","(320, 0.0877988418348033)","(524, 0.031161951352689444)","(556, 0.10804935995167608)","(425, 0.11053611187450688)"
"(261, 0.1107628119105186)","(285, 0.13360740956293043)","(646, 0.10975328691654226)","(532, 0.12802606866705857)","(150, 0.0792537481208496)","(327, 0.14242975067052924)","(597, 0.12868569690711545)","(155, 0.13053819284052112)","(47, 0.157089127751504)","(660, 0.08475683450591723)","(15, 0.0549505037862672)","(681, 0.10550915321812811)","(605, 0.0825168381165816)","(576, 0.06338561380290918)","(603, 0.08771687369371396)","(634, 0.031137634758490355)","(298, 0.10729991422287542)","(182, 0.11015479391113027)"
"(643, 0.11007102048714554)","(640, 0.13320577558077085)","(447, 0.10969640052070505)","(612, 0.12750069968477518)","(267, 0.07915433910033329)","(386, 0.1413096314581615)","(508, 0.1285641249761005)","(508, 0.12981086518510185)","(443, 0.15699852162462968)","(586, 0.08465951073048983)","(252, 0.05491238280017501)","(175, 0.10495829934026098)","(623, 0.08187504721581491)","(277, 0.06331966076559596)","(627, 0.08661667025521938)","(122, 0.031132268203201533)","(45, 0.10728851566581439)","(252, 0.11014553889365404)"
"(544, 0.11003395822434653)","(52, 0.13312472936540976)","(66, 0.10966368300635569)","(16, 0.12749227620581574)","(112, 0.07839503993429082)","(59, 0.14063829709590162)","(581, 0.1285312214353161)","(201, 0.12767287554589454)","(41, 0.1569711905659418)","(200, 0.08442102036552114)","(31, 0.05406758867346431)","(481, 0.10434032475133594)","(155, 0.08086638023762631)","(580, 0.06321127171903904)","(412, 0.0861920071169413)","(74, 0.031038649557114013)","(107, 0.1069736681353149)","(511, 0.11011618322200965)"
"(98, 0.10950210005783492)","(626, 0.13246304386644944)","(17, 0.10962919321036478)","(229, 0.12745592448326432)","(130, 0.07765526494756689)","(463, 0.13988952371728613)","(207, 0.12823027276745028)","(535, 0.1271472733269859)","(276, 0.1556405976481236)","(420, 0.08438687863123158)","(296, 0.054012801907325464)","(433, 0.10419315673976902)","(468, 0.08085310597705496)","(619, 0.06319131698930033)","(54, 0.08551869997158136)","(16, 0.030877928765626738)","(326, 0.10688013385738232)","(102, 0.1096422097276046)"
"(160, 0.1086678327436313)","(304, 0.13242459159001882)","(509, 0.10961241369441023)","(614, 0.12729696113112532)","(663, 0.07746898415410541)","(445, 0.13965803318258033)","(563, 0.12791810499747194)","(45, 0.12690050009103393)","(392, 0.15561833731150848)","(38, 0.0840425022486864)","(620, 0.05397656735981684)","(603, 0.10394539194518419)","(679, 0.08049516833455556)","(442, 0.06286539956411936)","(112, 0.08524911602650107)","(92, 0.030847165333560647)","(554, 0.10674484680117291)","(509, 0.10946831099070406)"
"(494, 0.10747851099519863)","(524, 0.13240073395854113)","(142, 0.10957229947152743)","(427, 0.12706196293425986)","(107, 0.07695567652650223)","(58, 0.13818728614698225)","(117, 0.12660422706632185)","(97, 0.1267569451299043)","(140, 0.1532845057990265)","(41, 0.08341141074185227)","(88, 0.053839775505533045)","(594, 0.10377499550447408)","(497, 0.08025343564882349)","(496, 0.0627369573980458)","(440, 0.08508111732175382)","(271, 0.030441198332935394)","(114, 0.10659652601350006)","(55, 0.10910162375806985)"
"(14, 0.10637796479501638)","(192, 0.13167836122523316)","(197, 0.10949805246900692)","(203, 0.12694860130111613)","(76, 0.07677660229710591)","(625, 0.1379708445756212)","(426, 0.1256402043080892)","(677, 0.12636280767341063)","(423, 0.15181487667030455)","(160, 0.08326371204074917)","(220, 0.053642804063714904)","(153, 0.10346863615091467)","(252, 0.07889591132135644)","(122, 0.06222568786909009)","(116, 0.08477090942378988)","(79, 0.030283533988917467)","(79, 0.10626673126806735)","(598, 0.10891558695428369)"
"(154, 0.10615834055827147)","(531, 0.13160494065883457)","(102, 0.10905237445005388)","(610, 0.126692131171357)","(295, 0.07607324617969939)","(29, 0.13740151092665967)","(47, 0.12534096918364188)","(217, 0.1260998354953447)","(661, 0.15139507042423136)","(261, 0.08309923917055938)","(671, 0.05363186922593335)","(188, 0.10324272468511579)","(425, 0.07837078121314474)","(492, 0.0620280915843435)","(465, 0.08354285294080584)","(44, 0.030139766700173116)","(597, 0.10606915944141025)","(645, 0.10873381481117615)"
"(452, 0.10576392657912212)","(610, 0.1314231333698706)","(299, 0.10836871176161716)","(49, 0.1265603784204423)","(217, 0.07568633464171316)","(46, 0.13722420264288643)","(68, 0.12517128764704236)","(552, 0.12609768181508021)","(475, 0.15115413029931077)","(510, 0.08280398703804513)","(300, 0.053630927896024055)","(628, 0.10316905814285168)","(510, 0.07811271024805788)","(117, 0.061962088763411735)","(28, 0.08334793720036197)","(218, 0.0299731585617653)","(179, 0.10591363951022266)","(4, 0.10868252938393254)"
"(105, 0.10502226437949412)","(240, 0.1301440198897861)","(101, 0.10832775840923566)","(163, 0.12570307254922802)","(607, 0.07549112836324356)","(580, 0.13622575266363882)","(103, 0.12493012074595775)","(542, 0.1254375670012217)","(64, 0.15092168148494695)","(601, 0.08269971995589755)","(318, 0.053446745541670934)","(37, 0.10301210817573488)","(400, 0.07808715168125284)","(614, 0.06164876844985273)","(417, 0.08303923530668904)","(606, 0.02894166951031066)","(502, 0.10544585266704666)","(299, 0.10813450795933376)"
"(58, 0.10474045716820153)","(656, 0.1300147412355502)","(390, 0.10775982734250504)","(628, 0.12569612233280467)","(546, 0.07545313344719938)","(615, 0.13609509011846332)","(479, 0.1245027367260732)","(480, 0.12518919231887246)","(52, 0.15020400722258428)","(272, 0.0826963825198748)","(617, 0.053205039255628576)","(174, 0.10237211706757268)","(70, 0.0779243479147864)","(52, 0.061421349560587306)","(531, 0.08290986964007081)","(110, 0.027983215898141955)","(182, 0.10538862881982003)","(275, 0.10813064810988036)"
